"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2010Q1","116031","1802394","-2.2","735","-0.3","Total, all industries","01","AL"
Alaska,"2010Q1","20925","304162","0.2","879","-0.8","Total, all industries","02","AK"
Arizona,"2010Q1","144768","2374555","-3.4","798","-1.1","Total, all industries","04","AZ"
Arkansas,"2010Q1","84911","1129858","-1.4","674","-2.9","Total, all industries","05","AR"
California,"2010Q1","1301028","14246983","-3.3","1004","1.0","Total, all industries","06","CA"
Colorado,"2010Q1","171449","2151385","-2.7","912","-0.1","Total, all industries","08","CO"
Connecticut,"2010Q1","110863","1566883","-3.2","1206","1.3","Total, all industries","09","CT"
Delaware,"2010Q1","28592","387918","-3.0","971","-0.5","Total, all industries","10","DE"
District Of Columbia,"2010Q1","34058","685419","1.3","1504","2.7","Total, all industries","11","DC"
Florida,"2010Q1","590765","7150417","-2.7","765","-0.6","Total, all industries","12","FL"
Georgia,"2010Q1","265489","3719783","-2.8","837","0.6","Total, all industries","13","GA"
Hawaii,"2010Q1","37769","586860","-2.2","766","-1.0","Total, all industries","15","HI"
Idaho,"2010Q1","54643","591135","-1.7","633","-0.8","Total, all industries","16","ID"
Illinois,"2010Q1","376967","5409492","-2.5","946","-0.4","Total, all industries","17","IL"
Indiana,"2010Q1","158277","2665740","-1.3","739","0.0","Total, all industries","18","IN"
Iowa,"2010Q1","94108","1410672","-1.6","706","-0.3","Total, all industries","19","IA"
Kansas,"2010Q1","86484","1285314","-3.0","719","0.0","Total, all industries","20","KS"
Kentucky,"2010Q1","108851","1690977","-1.1","711","-0.1","Total, all industries","21","KY"
Louisiana,"2010Q1","128257","1824942","-2.2","764","-1.2","Total, all industries","22","LA"
Maine,"2010Q1","48972","558255","-0.8","690","0.3","Total, all industries","23","ME"
Maryland,"2010Q1","162495","2420061","-1.4","975","1.2","Total, all industries","24","MD"
Massachusetts,"2010Q1","217093","3079460","-0.9","1095","-0.5","Total, all industries","25","MA"
Michigan,"2010Q1","251734","3676694","-2.3","814","-1.3","Total, all industries","26","MI"
Minnesota,"2010Q1","161524","2495052","-1.8","882","0.1","Total, all industries","27","MN"
Mississippi,"2010Q1","68914","1068729","-1.8","630","-0.5","Total, all industries","28","MS"
Missouri,"2010Q1","172712","2554706","-2.4","763","-0.8","Total, all industries","29","MO"
Montana,"2010Q1","41899","410639","-0.7","633","0.8","Total, all industries","30","MT"
Nebraska,"2010Q1","59246","880465","-1.7","694","-0.7","Total, all industries","31","NE"
Nevada,"2010Q1","73686","1097797","-4.6","779","-3.8","Total, all industries","32","NV"
New Hampshire,"2010Q1","47445","589986","-1.7","833","-0.6","Total, all industries","33","NH"
New Jersey,"2010Q1","269831","3700021","-1.8","1121","1.8","Total, all industries","34","NJ"
New Mexico,"2010Q1","54103","777442","-2.0","716","-0.8","Total, all industries","35","NM"
New York,"2010Q1","580197","8234004","-1.2","1282","6.2","Total, all industries","36","NY"
North Carolina,"2010Q1","250184","3751448","-2.5","791","3.1","Total, all industries","37","NC"
North Dakota,"2010Q1","25751","347245","1.5","683","2.4","Total, all industries","38","ND"
Ohio,"2010Q1","283610","4805619","-2.7","783","-0.8","Total, all industries","39","OH"
Oklahoma,"2010Q1","102309","1476274","-2.9","702","-0.8","Total, all industries","40","OK"
Oregon,"2010Q1","125665","1569791","-1.9","776","0.5","Total, all industries","41","OR"
Pennsylvania,"2010Q1","337992","5379790","-1.3","857","-0.5","Total, all industries","42","PA"
Rhode Island,"2010Q1","34974","437841","-1.0","835","0.6","Total, all industries","44","RI"
South Carolina,"2010Q1","112215","1742340","-1.9","691","-0.3","Total, all industries","45","SC"
South Dakota,"2010Q1","30764","377335","-1.4","633","0.5","Total, all industries","46","SD"
Tennessee,"2010Q1","138900","2532456","-1.8","764","1.6","Total, all industries","47","TN"
Texas,"2010Q1","571123","10103804","-1.2","893","0.8","Total, all industries","48","TX"
Utah,"2010Q1","82170","1134717","-2.3","728","0.1","Total, all industries","49","UT"
Vermont,"2010Q1","24205","289209","-0.8","714","-0.7","Total, all industries","50","VT"
Virginia,"2010Q1","228244","3486351","-1.4","931","1.2","Total, all industries","51","VA"
Washington,"2010Q1","226225","2752786","-2.2","900","-0.3","Total, all industries","53","WA"
West Virginia,"2010Q1","48157","682194","-1.1","692","-1.7","Total, all industries","54","WV"
Wisconsin,"2010Q1","154400","2568348","-2.0","740","-0.9","Total, all industries","55","WI"
Wyoming,"2010Q1","24915","262480","-3.7","774","-0.5","Total, all industries","56","WY"
Puerto Rico,"2010Q1","49283","948101","-2.1","496","-0.2","Total, all industries","72","PR"
Virgin Islands,"2010Q1","3589","44931","0.6","731","6.7","Total, all industries","78","VI"
 
