"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2019Q2","129510","1997399","1.3","910","3.3","Total, all industries","01","AL"
Alaska,"2019Q2","22036","339288","0.8","1075","3.3","Total, all industries","02","AK"
Arizona,"2019Q2","163521","2852485","2.9","1010","3.8","Total, all industries","04","AZ"
Arkansas,"2019Q2","91440","1223147","0.6","861","4.5","Total, all industries","05","AR"
California,"2019Q2","1575720","17718241","1.5","1324","4.7","Total, all industries","06","CA"
Colorado,"2019Q2","210480","2766234","2.3","1128","4.9","Total, all industries","08","CO"
Connecticut,"2019Q2","122944","1692332","-0.7","1264","3.7","Total, all industries","09","CT"
Delaware,"2019Q2","34307","458704","1.0","1061","3.8","Total, all industries","10","DE"
District Of Columbia,"2019Q2","39881","779381","0.4","1779","3.9","Total, all industries","11","DC"
Florida,"2019Q2","712147","8732867","2.0","968","3.9","Total, all industries","12","FL"
Georgia,"2019Q2","285054","4510257","1.7","1017","4.0","Total, all industries","13","GA"
Hawaii,"2019Q2","43743","656723","-0.5","989","3.3","Total, all industries","15","HI"
Idaho,"2019Q2","62423","765990","2.7","820","3.3","Total, all industries","16","ID"
Illinois,"2019Q2","374736","6082111","0.4","1122","2.4","Total, all industries","17","IL"
Indiana,"2019Q2","169070","3092706","0.6","909","2.9","Total, all industries","18","IN"
Iowa,"2019Q2","104244","1584917","0.1","902","2.5","Total, all industries","19","IA"
Kansas,"2019Q2","86659","1404035","0.7","905","2.8","Total, all industries","20","KS"
Kentucky,"2019Q2","122186","1910781","0.4","912","3.4","Total, all industries","21","KY"
Louisiana,"2019Q2","134043","1922507","0.0","923","2.4","Total, all industries","22","LA"
Maine,"2019Q2","53507","641976","0.7","873","3.6","Total, all industries","23","ME"
Maryland,"2019Q2","176430","2735847","0.8","1179","3.4","Total, all industries","24","MD"
Massachusetts,"2019Q2","261866","3708411","1.4","1377","4.3","Total, all industries","25","MA"
Michigan,"2019Q2","261876","4421075","0.2","1017","2.3","Total, all industries","26","MI"
Minnesota,"2019Q2","177387","2955939","0.9","1101","2.6","Total, all industries","27","MN"
Mississippi,"2019Q2","73153","1136297","0.5","767","2.0","Total, all industries","28","MS"
Missouri,"2019Q2","207579","2836167","0.3","948","2.5","Total, all industries","29","MO"
Montana,"2019Q2","49481","483257","1.0","842","3.2","Total, all industries","30","MT"
Nebraska,"2019Q2","72661","991718","0.1","889","3.5","Total, all industries","31","NE"
Nevada,"2019Q2","81728","1408933","2.6","961","3.2","Total, all industries","32","NV"
New Hampshire,"2019Q2","53427","676205","0.8","1090","4.0","Total, all industries","33","NH"
New Jersey,"2019Q2","275917","4182102","0.7","1236","3.0","Total, all industries","34","NJ"
New Mexico,"2019Q2","62132","835725","1.2","889","4.5","Total, all industries","35","NM"
New York,"2019Q2","643776","9680656","1.0","1347","3.9","Total, all industries","36","NY"
North Carolina,"2019Q2","284230","4516723","1.7","971","4.0","Total, all industries","37","NC"
North Dakota,"2019Q2","31923","431784","1.3","1027","4.2","Total, all industries","38","ND"
Ohio,"2019Q2","300839","5487292","0.4","964","3.3","Total, all industries","39","OH"
Oklahoma,"2019Q2","111103","1622912","0.8","900","3.1","Total, all industries","40","OK"
Oregon,"2019Q2","157522","1980358","1.5","1036","3.8","Total, all industries","41","OR"
Pennsylvania,"2019Q2","358487","5976484","0.8","1071","3.9","Total, all industries","42","PA"
Rhode Island,"2019Q2","38830","494762","0.8","1036","3.6","Total, all industries","44","RI"
South Carolina,"2019Q2","139688","2146132","1.3","868","3.8","Total, all industries","45","SC"
South Dakota,"2019Q2","34112","442136","0.5","837","3.7","Total, all industries","46","SD"
Tennessee,"2019Q2","165708","3048612","1.8","965","3.4","Total, all industries","47","TN"
Texas,"2019Q2","711721","12603624","2.1","1101","3.7","Total, all industries","48","TX"
Utah,"2019Q2","106908","1520991","2.7","932","3.7","Total, all industries","49","UT"
Vermont,"2019Q2","25952","314629","0.2","929","2.7","Total, all industries","50","VT"
Virginia,"2019Q2","281033","3984085","1.0","1113","3.7","Total, all industries","51","VA"
Washington,"2019Q2","252816","3500633","1.8","1287","5.8","Total, all industries","53","WA"
West Virginia,"2019Q2","50890","700556","-0.5","889","2.4","Total, all industries","54","WV"
Wisconsin,"2019Q2","176402","2946821","0.4","939","4.0","Total, all industries","55","WI"
Wyoming,"2019Q2","26666","288211","1.9","931","3.3","Total, all industries","56","WY"
Puerto Rico,"2019Q2","46830","867481","1.4","531","-1.8","Total, all industries","72","PR"
Virgin Islands,"2019Q2","3422","38008","13.0","950","12.4","Total, all industries","78","VI"
 
