"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2008Q3","121093","1936076","-1.2","731","3.4","Total, all industries","01","AL"
Alaska,"2008Q3","21744","332308","1.5","873","3.8","Total, all industries","02","AK"
Arizona,"2008Q3","161938","2571529","-3.0","798","2.0","Total, all industries","04","AZ"
Arkansas,"2008Q3","86082","1183694","-0.2","651","3.3","Total, all industries","05","AR"
California,"2008Q3","1336970","15525880","-1.4","959","2.9","Total, all industries","06","CA"
Colorado,"2008Q3","180415","2322567","0.4","877","3.8","Total, all industries","08","CO"
Connecticut,"2008Q3","113394","1691731","-0.3","1033","1.1","Total, all industries","09","CT"
Delaware,"2008Q3","29719","422897","-0.6","877","1.9","Total, all industries","10","DE"
District Of Columbia,"2008Q3","33835","689888","1.6","1392","1.1","Total, all industries","11","DC"
Florida,"2008Q3","618771","7538683","-4.2","756","2.2","Total, all industries","12","FL"
Georgia,"2008Q3","275489","4016487","-1.7","794","1.5","Total, all industries","13","GA"
Hawaii,"2008Q3","38591","614766","-1.8","773","1.7","Total, all industries","15","HI"
Idaho,"2008Q3","56738","665517","-1.4","643","1.3","Total, all industries","16","ID"
Illinois,"2008Q3","369652","5873593","-0.7","891","2.9","Total, all industries","17","IL"
Indiana,"2008Q3","161449","2897522","-1.4","718","2.3","Total, all industries","18","IN"
Iowa,"2008Q3","94568","1500845","0.3","696","4.2","Total, all industries","19","IA"
Kansas,"2008Q3","86412","1369172","0.0","710","4.4","Total, all industries","20","KS"
Kentucky,"2008Q3","107708","1793821","-1.1","693","2.5","Total, all industries","21","KY"
Louisiana,"2008Q3","124571","1877296","-0.2","759","6.0","Total, all industries","22","LA"
Maine,"2008Q3","51032","612637","-0.3","683","3.5","Total, all industries","23","ME"
Maryland,"2008Q3","164559","2545879","-0.7","919","3.0","Total, all industries","24","MD"
Massachusetts,"2008Q3","213551","3272362","0.2","1024","2.2","Total, all industries","25","MA"
Michigan,"2008Q3","260491","4096026","-3.0","820","1.5","Total, all industries","26","MI"
Minnesota,"2008Q3","170199","2699967","-0.5","862","4.7","Total, all industries","27","MN"
Mississippi,"2008Q3","70648","1129908","-1.2","630","3.8","Total, all industries","28","MS"
Missouri,"2008Q3","175433","2735962","-0.4","739","2.8","Total, all industries","29","MO"
Montana,"2008Q3","43047","445991","0.0","629","3.3","Total, all industries","30","MT"
Nebraska,"2008Q3","60073","925993","0.3","694","4.2","Total, all industries","31","NE"
Nevada,"2008Q3","77520","1252817","-2.7","809","2.1","Total, all industries","32","NV"
New Hampshire,"2008Q3","49576","634965","-0.4","822","2.8","Total, all industries","33","NH"
New Jersey,"2008Q3","269865","3948694","-0.8","991","2.6","Total, all industries","34","NJ"
New Mexico,"2008Q3","54656","835943","0.7","713","3.6","Total, all industries","35","NM"
New York,"2008Q3","582362","8634523","0.5","1030","2.2","Total, all industries","36","NY"
North Carolina,"2008Q3","257436","4068496","-0.9","740","2.9","Total, all industries","37","NC"
North Dakota,"2008Q3","25785","357168","2.8","665","6.9","Total, all industries","38","ND"
Ohio,"2008Q3","294176","5250441","-1.5","768","3.1","Total, all industries","39","OH"
Oklahoma,"2008Q3","101111","1564328","1.3","699","4.6","Total, all industries","40","OK"
Oregon,"2008Q3","128232","1732664","-1.0","766","2.1","Total, all industries","41","OR"
Pennsylvania,"2008Q3","341418","5682032","0.1","822","2.5","Total, all industries","42","PA"
Rhode Island,"2008Q3","35796","475846","-2.1","778","2.5","Total, all industries","44","RI"
South Carolina,"2008Q3","119066","1874924","-1.5","682","2.7","Total, all industries","45","SC"
South Dakota,"2008Q3","30641","401343","1.0","623","4.2","Total, all industries","46","SD"
Tennessee,"2008Q3","143182","2726287","-1.7","747","3.0","Total, all industries","47","TN"
Texas,"2008Q3","567839","10450764","1.5","849","2.8","Total, all industries","48","TX"
Utah,"2008Q3","87088","1229021","-0.1","717","2.9","Total, all industries","49","UT"
Vermont,"2008Q3","25155","304691","-0.4","721","3.1","Total, all industries","50","VT"
Virginia,"2008Q3","230790","3675039","-0.3","878","2.5","Total, all industries","51","VA"
Washington,"2008Q3","222435","3002766","0.9","904","3.1","Total, all industries","53","WA"
West Virginia,"2008Q3","48694","716708","0.6","662","6.1","Total, all industries","54","WV"
Wisconsin,"2008Q3","162026","2794934","-0.4","729","3.3","Total, all industries","55","WI"
Wyoming,"2008Q3","25130","294457","3.5","781","6.4","Total, all industries","56","WY"
Puerto Rico,"2008Q3","55506","995997","-1.3","476","5.3","Total, all industries","72","PR"
Virgin Islands,"2008Q3","3596","44968","-0.7","707","4.0","Total, all industries","78","VI"
 
