"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2014Q2","117167","1874093","0.8","806","1.6","Total, all industries","01","AL"
Alaska,"2014Q2","21875","345188","0.5","1004","3.6","Total, all industries","02","AK"
Arizona,"2014Q2","146018","2486892","1.9","888","1.3","Total, all industries","04","AZ"
Arkansas,"2014Q2","86703","1165046","1.2","746","1.6","Total, all industries","05","AR"
California,"2014Q2","1355677","15899289","2.7","1072","2.4","Total, all industries","06","CA"
Colorado,"2014Q2","178680","2439621","3.4","960","2.9","Total, all industries","08","CO"
Connecticut,"2014Q2","113772","1677481","0.6","1154","2.4","Total, all industries","09","CT"
Delaware,"2014Q2","29849","429594","2.6","976","1.2","Total, all industries","10","DE"
District Of Columbia,"2014Q2","35994","732110","1.0","1570","-0.4","Total, all industries","11","DC"
Florida,"2014Q2","634416","7630036","3.1","839","2.1","Total, all industries","12","FL"
Georgia,"2014Q2","279885","4032164","3.0","882","1.7","Total, all industries","13","GA"
Hawaii,"2014Q2","38175","625825","1.3","844","2.6","Total, all industries","15","HI"
Idaho,"2014Q2","54571","659386","2.5","697","2.2","Total, all industries","16","ID"
Illinois,"2014Q2","411644","5839815","1.5","989","2.0","Total, all industries","17","IL"
Indiana,"2014Q2","158208","2917522","1.8","784","1.2","Total, all industries","18","IN"
Iowa,"2014Q2","99473","1547638","1.6","780","3.0","Total, all industries","19","IA"
Kansas,"2014Q2","85174","1372529","1.7","797","2.3","Total, all industries","20","KS"
Kentucky,"2014Q2","120873","1820385","1.7","798","2.0","Total, all industries","21","KY"
Louisiana,"2014Q2","124570","1921761","1.4","843","2.4","Total, all industries","22","LA"
Maine,"2014Q2","49020","610886","0.9","746","2.1","Total, all industries","23","ME"
Maryland,"2014Q2","167736","2594743","0.9","1019","1.5","Total, all industries","24","MD"
Massachusetts,"2014Q2","230867","3417573","1.7","1157","2.3","Total, all industries","25","MA"
Michigan,"2014Q2","235796","4160938","2.2","897","2.3","Total, all industries","26","MI"
Minnesota,"2014Q2","163655","2783289","1.4","947","1.9","Total, all industries","27","MN"
Mississippi,"2014Q2","70831","1103079","0.7","705","2.0","Total, all industries","28","MS"
Missouri,"2014Q2","183417","2701642","1.2","819","2.0","Total, all industries","29","MO"
Montana,"2014Q2","43652","453190","1.1","734","2.4","Total, all industries","30","MT"
Nebraska,"2014Q2","71157","956854","1.5","756","2.7","Total, all industries","31","NE"
Nevada,"2014Q2","75809","1209823","3.4","833","0.6","Total, all industries","32","NV"
New Hampshire,"2014Q2","49603","637816","1.3","955","4.3","Total, all industries","33","NH"
New Jersey,"2014Q2","257649","3939933","0.7","1097","1.2","Total, all industries","34","NJ"
New Mexico,"2014Q2","56897","802022","0.7","794","1.7","Total, all industries","35","NM"
New York,"2014Q2","619363","8967563","1.8","1145","2.3","Total, all industries","36","NY"
North Carolina,"2014Q2","259553","4078753","2.4","818","1.2","Total, all industries","37","NC"
North Dakota,"2014Q2","31469","452946","4.4","936","5.5","Total, all industries","38","ND"
Ohio,"2014Q2","288818","5235018","1.4","845","1.9","Total, all industries","39","OH"
Oklahoma,"2014Q2","106774","1581552","1.2","814","2.4","Total, all industries","40","OK"
Oregon,"2014Q2","132851","1751457","2.5","873","2.8","Total, all industries","41","OR"
Pennsylvania,"2014Q2","345308","5717707","1.0","933","1.6","Total, all industries","42","PA"
Rhode Island,"2014Q2","35729","472986","1.6","899","2.2","Total, all industries","44","RI"
South Carolina,"2014Q2","116874","1915474","2.6","766","2.7","Total, all industries","45","SC"
South Dakota,"2014Q2","31880","422996","1.4","712","3.3","Total, all industries","46","SD"
Tennessee,"2014Q2","144912","2753916","1.8","837","2.1","Total, all industries","47","TN"
Texas,"2014Q2","619843","11415078","3.1","973","3.1","Total, all industries","48","TX"
Utah,"2014Q2","89402","1295926","2.8","796","1.7","Total, all industries","49","UT"
Vermont,"2014Q2","24341","307582","1.2","813","0.7","Total, all industries","50","VT"
Virginia,"2014Q2","241105","3704387","0.6","976","0.8","Total, all industries","51","VA"
Washington,"2014Q2","237939","3094534","2.7","995","2.6","Total, all industries","53","WA"
West Virginia,"2014Q2","49791","712046","-0.2","792","1.4","Total, all industries","54","WV"
Wisconsin,"2014Q2","163631","2810767","1.4","815","1.9","Total, all industries","55","WI"
Wyoming,"2014Q2","25513","295858","1.8","870","3.0","Total, all industries","56","WY"
Puerto Rico,"2014Q2","47344","897072","-2.0","503","0.4","Total, all industries","72","PR"
Virgin Islands,"2014Q2","3420","37865","-2.1","732","3.4","Total, all industries","78","VI"
 
