"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2018Q3","127492","1967108","1.3","885","3.1","Total, all industries","01","AL"
Alaska,"2018Q3","21968","333877","-0.4","1066","3.8","Total, all industries","02","AK"
Arizona,"2018Q3","160339","2838496","2.8","974","2.9","Total, all industries","04","AZ"
Arkansas,"2018Q3","90528","1222610","0.7","810","2.8","Total, all industries","05","AR"
California,"2018Q3","1558996","17463441","1.8","1261","3.9","Total, all industries","06","CA"
Colorado,"2018Q3","206704","2685238","2.2","1103","3.4","Total, all industries","08","CO"
Connecticut,"2018Q3","121095","1682326","0.4","1208","2.4","Total, all industries","09","CT"
Delaware,"2018Q3","33542","448226","0.7","1044","2.3","Total, all industries","10","DE"
District Of Columbia,"2018Q3","40049","771420","0.8","1805","2.7","Total, all industries","11","DC"
Florida,"2018Q3","692446","8693445","4.7","924","3.1","Total, all industries","12","FL"
Georgia,"2018Q3","277608","4448238","2.3","992","3.2","Total, all industries","13","GA"
Hawaii,"2018Q3","42384","656247","0.3","974","2.3","Total, all industries","15","HI"
Idaho,"2018Q3","64511","743468","3.0","805","3.2","Total, all industries","16","ID"
Illinois,"2018Q3","367007","6020391","0.6","1086","2.9","Total, all industries","17","IL"
Indiana,"2018Q3","168882","3074015","1.0","883","2.4","Total, all industries","18","IN"
Iowa,"2018Q3","103010","1555403","0.6","887","3.7","Total, all industries","19","IA"
Kansas,"2018Q3","89068","1389884","0.9","868","3.6","Total, all industries","20","KS"
Kentucky,"2018Q3","120092","1898017","0.5","855","2.2","Total, all industries","21","KY"
Louisiana,"2018Q3","132519","1919187","0.7","900","3.6","Total, all industries","22","LA"
Maine,"2018Q3","52574","627242","0.7","851","3.7","Total, all industries","23","ME"
Maryland,"2018Q3","172979","2690927","0.9","1128","2.2","Total, all industries","24","MD"
Massachusetts,"2018Q3","257567","3608921","1.0","1304","3.2","Total, all industries","25","MA"
Michigan,"2018Q3","251714","4365448","0.7","991","2.8","Total, all industries","26","MI"
Minnesota,"2018Q3","177029","2906824","0.8","1075","4.3","Total, all industries","27","MN"
Mississippi,"2018Q3","74062","1134184","0.3","748","2.6","Total, all industries","28","MS"
Missouri,"2018Q3","202505","2810965","0.4","907","3.3","Total, all industries","29","MO"
Montana,"2018Q3","50668","473233","1.0","816","2.9","Total, all industries","30","MT"
Nebraska,"2018Q3","70598","981478","0.7","873","2.8","Total, all industries","31","NE"
Nevada,"2018Q3","81102","1383371","3.4","935","2.3","Total, all industries","32","NV"
New Hampshire,"2018Q3","52984","662581","0.5","1040","1.7","Total, all industries","33","NH"
New Jersey,"2018Q3","269786","4068669","0.7","1182","2.2","Total, all industries","34","NJ"
New Mexico,"2018Q3","60545","828264","1.4","855","3.9","Total, all industries","35","NM"
New York,"2018Q3","641631","9471697","1.5","1272","4.2","Total, all industries","36","NY"
North Carolina,"2018Q3","275410","4402293","1.2","938","3.8","Total, all industries","37","NC"
North Dakota,"2018Q3","32072","424339","1.1","995","4.4","Total, all industries","38","ND"
Ohio,"2018Q3","297822","5424843","0.7","947","2.9","Total, all industries","39","OH"
Oklahoma,"2018Q3","110371","1620267","1.4","874","3.6","Total, all industries","40","OK"
Oregon,"2018Q3","155828","1942927","1.7","1005","3.8","Total, all industries","41","OR"
Pennsylvania,"2018Q3","356071","5899233","1.0","1031","3.0","Total, all industries","42","PA"
Rhode Island,"2018Q3","38208","488480","0.8","964","-1.2","Total, all industries","44","RI"
South Carolina,"2018Q3","133142","2087384","2.7","835","1.0","Total, all industries","45","SC"
South Dakota,"2018Q3","33802","431534","1.3","827","3.0","Total, all industries","46","SD"
Tennessee,"2018Q3","162478","3003898","1.7","940","4.1","Total, all industries","47","TN"
Texas,"2018Q3","697325","12339461","2.7","1065","3.2","Total, all industries","48","TX"
Utah,"2018Q3","104346","1493919","3.4","910","3.5","Total, all industries","49","UT"
Vermont,"2018Q3","25813","311078","0.1","889","2.3","Total, all industries","50","VT"
Virginia,"2018Q3","279595","3891771","1.2","1082","2.9","Total, all industries","51","VA"
Washington,"2018Q3","250073","3418713","2.2","1280","6.2","Total, all industries","53","WA"
West Virginia,"2018Q3","51290","706930","1.8","894","8.1","Total, all industries","54","WV"
Wisconsin,"2018Q3","176085","2891783","0.8","901","2.9","Total, all industries","55","WI"
Wyoming,"2018Q3","26398","278811","0.8","904","4.1","Total, all industries","56","WY"
Puerto Rico,"2018Q3","44882","862396","0.2","532","4.9","Total, all industries","72","PR"
Virgin Islands,"2018Q3","3575","34474","-4.9","897","19.8","Total, all industries","78","VI"
 
