"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2009Q3","116850","1815560","-6.2","744","1.8","Total, all industries","01","AL"
Alaska,"2009Q3","21248","329233","-0.9","887","1.6","Total, all industries","02","AK"
Arizona,"2009Q3","147872","2364456","-8.1","800","0.3","Total, all industries","04","AZ"
Arkansas,"2009Q3","85925","1138129","-3.8","659","1.2","Total, all industries","05","AR"
California,"2009Q3","1347300","14512076","-6.5","951","-0.8","Total, all industries","06","CA"
Colorado,"2009Q3","176261","2188023","-5.8","876","-0.1","Total, all industries","08","CO"
Connecticut,"2009Q3","111977","1611610","-4.7","1025","-0.8","Total, all industries","09","CT"
Delaware,"2009Q3","29112","401580","-5.0","881","0.5","Total, all industries","10","DE"
District Of Columbia,"2009Q3","34486","680064","-1.4","1454","4.5","Total, all industries","11","DC"
Florida,"2009Q3","594568","7048598","-6.5","759","0.4","Total, all industries","12","FL"
Georgia,"2009Q3","269576","3751777","-6.6","801","0.9","Total, all industries","13","GA"
Hawaii,"2009Q3","39116","586260","-4.6","787","1.8","Total, all industries","15","HI"
Idaho,"2009Q3","55801","623558","-6.3","647","0.6","Total, all industries","16","ID"
Illinois,"2009Q3","374780","5538498","-5.7","881","-1.1","Total, all industries","17","IL"
Indiana,"2009Q3","159978","2716028","-6.3","714","-0.6","Total, all industries","18","IN"
Iowa,"2009Q3","94579","1446341","-3.6","694","-0.3","Total, all industries","19","IA"
Kansas,"2009Q3","87374","1308720","-4.4","706","-0.6","Total, all industries","20","KS"
Kentucky,"2009Q3","107733","1714725","-4.4","706","1.9","Total, all industries","21","KY"
Louisiana,"2009Q3","125726","1834507","-2.3","760","0.1","Total, all industries","22","LA"
Maine,"2009Q3","50106","592912","-3.2","689","0.9","Total, all industries","23","ME"
Maryland,"2009Q3","163063","2458539","-3.4","941","2.4","Total, all industries","24","MD"
Massachusetts,"2009Q3","213538","3144942","-3.9","1023","-0.1","Total, all industries","25","MA"
Michigan,"2009Q3","255842","3792620","-7.4","809","-1.3","Total, all industries","26","MI"
Minnesota,"2009Q3","165283","2563075","-5.1","836","-3.0","Total, all industries","27","MN"
Mississippi,"2009Q3","70276","1077921","-4.6","635","0.8","Total, all industries","28","MS"
Missouri,"2009Q3","173709","2610223","-4.6","744","0.7","Total, all industries","29","MO"
Montana,"2009Q3","42571","428577","-3.9","637","1.3","Total, all industries","30","MT"
Nebraska,"2009Q3","60069","901566","-2.6","689","-0.7","Total, all industries","31","NE"
Nevada,"2009Q3","75257","1126388","-10.1","805","-0.5","Total, all industries","32","NV"
New Hampshire,"2009Q3","48508","608513","-4.2","830","1.0","Total, all industries","33","NH"
New Jersey,"2009Q3","266103","3774558","-4.4","996","0.5","Total, all industries","34","NJ"
New Mexico,"2009Q3","53713","793695","-5.1","724","1.5","Total, all industries","35","NM"
New York,"2009Q3","580773","8319564","-3.6","1013","-1.7","Total, all industries","36","NY"
North Carolina,"2009Q3","250994","3816173","-6.2","745","0.7","Total, all industries","37","NC"
North Dakota,"2009Q3","25890","355332","-0.5","680","2.3","Total, all industries","38","ND"
Ohio,"2009Q3","288583","4925757","-6.2","765","-0.4","Total, all industries","39","OH"
Oklahoma,"2009Q3","101437","1490254","-4.7","698","-0.1","Total, all industries","40","OK"
Oregon,"2009Q3","127094","1615347","-6.8","767","0.1","Total, all industries","41","OR"
Pennsylvania,"2009Q3","339041","5453507","-4.0","826","0.5","Total, all industries","42","PA"
Rhode Island,"2009Q3","35301","452626","-4.9","793","1.9","Total, all industries","44","RI"
South Carolina,"2009Q3","114422","1754454","-6.4","687","0.7","Total, all industries","45","SC"
South Dakota,"2009Q3","30927","392150","-2.3","633","1.6","Total, all industries","46","SD"
Tennessee,"2009Q3","140714","2558123","-6.2","745","-0.3","Total, all industries","47","TN"
Texas,"2009Q3","568086","10057085","-3.8","845","-0.5","Total, all industries","48","TX"
Utah,"2009Q3","84727","1155083","-6.0","724","1.0","Total, all industries","49","UT"
Vermont,"2009Q3","24591","292864","-3.9","733","1.7","Total, all industries","50","VT"
Virginia,"2009Q3","229735","3530353","-3.9","896","2.1","Total, all industries","51","VA"
Washington,"2009Q3","229146","2863374","-4.6","916","1.3","Total, all industries","53","WA"
West Virginia,"2009Q3","48347","691573","-3.5","673","1.7","Total, all industries","54","WV"
Wisconsin,"2009Q3","157435","2643777","-5.4","726","-0.4","Total, all industries","55","WI"
Wyoming,"2009Q3","25055","278894","-5.3","756","-3.2","Total, all industries","56","WY"
Puerto Rico,"2009Q3","51320","934841","-6.1","494","3.8","Total, all industries","72","PR"
Virgin Islands,"2009Q3","3567","42492","-5.5","723","2.3","Total, all industries","78","VI"
 
