"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2001Q1","109424","1859295","","574","","Total, all industries","01","AL"
Alaska,"2001Q1","19057","272105","","683","","Total, all industries","02","AK"
Arizona,"2001Q1","116358","2279171","","636","","Total, all industries","04","AZ"
Arkansas,"2001Q1","72435","1133025","","522","","Total, all industries","05","AR"
California,"2001Q1","1039923","15020417","","824","","Total, all industries","06","CA"
Colorado,"2001Q1","151847","2205222","","746","","Total, all industries","08","CO"
Connecticut,"2001Q1","107888","1654358","","973","","Total, all industries","09","CT"
Delaware,"2001Q1","25115","406879","","762","","Total, all industries","10","DE"
District Of Columbia,"2001Q1","28456","631123","","1082","","Total, all industries","11","DC"
Florida,"2001Q1","447078","7252218","","601","","Total, all industries","12","FL"
Georgia,"2001Q1","224734","3879979","","687","","Total, all industries","13","GA"
Hawaii,"2001Q1","35498","562241","","598","","Total, all industries","15","HI"
Idaho,"2001Q1","46093","559215","","526","","Total, all industries","16","ID"
Illinois,"2001Q1","319756","5867166","","779","","Total, all industries","17","IL"
Indiana,"2001Q1","152257","2864056","","624","","Total, all industries","18","IN"
Iowa,"2001Q1","93616","1414043","","550","","Total, all industries","19","IA"
Kansas,"2001Q1","80467","1320456","","577","","Total, all industries","20","KS"
Kentucky,"2001Q1","107800","1733631","","571","","Total, all industries","21","KY"
Louisiana,"2001Q1","117982","1873449","","552","","Total, all industries","22","LA"
Maine,"2001Q1","45527","575227","","556","","Total, all industries","23","ME"
Maryland,"2001Q1","146923","2403413","","740","","Total, all industries","24","MD"
Massachusetts,"2001Q1","190005","3268070","","906","","Total, all industries","25","MA"
Michigan,"2001Q1","264745","4462949","","734","","Total, all industries","26","MI"
Minnesota,"2001Q1","155538","2584736","","715","","Total, all industries","27","MN"
Mississippi,"2001Q1","63535","1111277","","491","","Total, all industries","28","MS"
Missouri,"2001Q1","162944","2652885","","625","","Total, all industries","29","MO"
Montana,"2001Q1","39914","377136","","466","","Total, all industries","30","MT"
Nebraska,"2001Q1","52360","872624","","544","","Total, all industries","31","NE"
Nevada,"2001Q1","48545","1042873","","627","","Total, all industries","32","NV"
New Hampshire,"2001Q1","45899","606217","","676","","Total, all industries","33","NH"
New Jersey,"2001Q1","262967","3855975","","885","","Total, all industries","34","NJ"
New Mexico,"2001Q1","48214","721966","","541","","Total, all industries","35","NM"
New York,"2001Q1","536288","8441028","","1039","","Total, all industries","36","NY"
North Carolina,"2001Q1","222205","3830462","","625","","Total, all industries","37","NC"
North Dakota,"2001Q1","23280","306642","","484","","Total, all industries","38","ND"
Ohio,"2001Q1","283603","5413592","","647","","Total, all industries","39","OH"
Oklahoma,"2001Q1","89894","1466075","","540","","Total, all industries","40","OK"
Oregon,"2001Q1","109582","1590172","","644","","Total, all industries","41","OR"
Pennsylvania,"2001Q1","328730","5534074","","684","","Total, all industries","42","PA"
Rhode Island,"2001Q1","33626","462803","","656","","Total, all industries","44","RI"
South Carolina,"2001Q1","113684","1798768","","558","","Total, all industries","45","SC"
South Dakota,"2001Q1","27166","357318","","485","","Total, all industries","46","SD"
Tennessee,"2001Q1","125186","2640203","","595","","Total, all industries","47","TN"
Texas,"2001Q1","493137","9381726","","711","","Total, all industries","48","TX"
Utah,"2001Q1","67129","1046443","","571","","Total, all industries","49","UT"
Vermont,"2001Q1","23888","298057","","574","","Total, all industries","50","VT"
Virginia,"2001Q1","193784","3430641","","712","","Total, all industries","51","VA"
Washington,"2001Q1","217192","2667698","","722","","Total, all industries","53","WA"
West Virginia,"2001Q1","46520","678494","","532","","Total, all industries","54","WV"
Wisconsin,"2001Q1","146822","2687024","","608","","Total, all industries","55","WI"
Wyoming,"2001Q1","20925","228385","","522","","Total, all industries","56","WY"
Puerto Rico,"2001Q1","52473","1022505","","368","","Total, all industries","72","PR"
Virgin Islands,"2001Q1","3241","45062","","563","","Total, all industries","78","VI"
 
