"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2001Q2","112308","1870027","","565","","Total, all industries","01","AL"
Alaska,"2001Q2","19232","298491","","693","","Total, all industries","02","AK"
Arizona,"2001Q2","117641","2214525","","638","","Total, all industries","04","AZ"
Arkansas,"2001Q2","72569","1140970","","518","","Total, all industries","05","AR"
California,"2001Q2","1048946","15264550","","770","","Total, all industries","06","CA"
Colorado,"2001Q2","153865","2245125","","710","","Total, all industries","08","CO"
Connecticut,"2001Q2","108388","1692965","","861","","Total, all industries","09","CT"
Delaware,"2001Q2","25206","416363","","698","","Total, all industries","10","DE"
District Of Columbia,"2001Q2","28417","640292","","1062","","Total, all industries","11","DC"
Florida,"2001Q2","451712","7115161","","597","","Total, all industries","12","FL"
Georgia,"2001Q2","228398","3899630","","656","","Total, all industries","13","GA"
Hawaii,"2001Q2","35074","565189","","583","","Total, all industries","15","HI"
Idaho,"2001Q2","46335","588321","","524","","Total, all industries","16","ID"
Illinois,"2001Q2","320439","5992230","","720","","Total, all industries","17","IL"
Indiana,"2001Q2","150506","2903302","","596","","Total, all industries","18","IN"
Iowa,"2001Q2","93738","1465485","","540","","Total, all industries","19","IA"
Kansas,"2001Q2","80567","1342951","","569","","Total, all industries","20","KS"
Kentucky,"2001Q2","106984","1756691","","574","","Total, all industries","21","KY"
Louisiana,"2001Q2","115834","1894776","","546","","Total, all industries","22","LA"
Maine,"2001Q2","45966","613067","","535","","Total, all industries","23","ME"
Maryland,"2001Q2","147781","2462470","","716","","Total, all industries","24","MD"
Massachusetts,"2001Q2","191226","3354995","","830","","Total, all industries","25","MA"
Michigan,"2001Q2","257418","4556785","","695","","Total, all industries","26","MI"
Minnesota,"2001Q2","156340","2666131","","689","","Total, all industries","27","MN"
Mississippi,"2001Q2","63051","1116736","","494","","Total, all industries","28","MS"
Missouri,"2001Q2","162805","2702453","","611","","Total, all industries","29","MO"
Montana,"2001Q2","40115","396830","","487","","Total, all industries","30","MT"
Nebraska,"2001Q2","52709","902244","","528","","Total, all industries","31","NE"
Nevada,"2001Q2","49034","1054925","","628","","Total, all industries","32","NV"
New Hampshire,"2001Q2","46201","623899","","658","","Total, all industries","33","NH"
New Jersey,"2001Q2","264534","3979104","","815","","Total, all industries","34","NJ"
New Mexico,"2001Q2","48154","741660","","550","","Total, all industries","35","NM"
New York,"2001Q2","534347","8602802","","830","","Total, all industries","36","NY"
North Carolina,"2001Q2","224583","3841477","","602","","Total, all industries","37","NC"
North Dakota,"2001Q2","23334","317999","","481","","Total, all industries","38","ND"
Ohio,"2001Q2","285431","5520451","","621","","Total, all industries","39","OH"
Oklahoma,"2001Q2","90664","1482652","","530","","Total, all industries","40","OK"
Oregon,"2001Q2","110835","1635247","","631","","Total, all industries","41","OR"
Pennsylvania,"2001Q2","330221","5637772","","656","","Total, all industries","42","PA"
Rhode Island,"2001Q2","33602","478725","","629","","Total, all industries","44","RI"
South Carolina,"2001Q2","114063","1807895","","551","","Total, all industries","45","SC"
South Dakota,"2001Q2","27382","376130","","478","","Total, all industries","46","SD"
Tennessee,"2001Q2","125334","2647154","","591","","Total, all industries","47","TN"
Texas,"2001Q2","493480","9437228","","669","","Total, all industries","48","TX"
Utah,"2001Q2","68017","1063835","","567","","Total, all industries","49","UT"
Vermont,"2001Q2","24020","302890","","578","","Total, all industries","50","VT"
Virginia,"2001Q2","195347","3496431","","698","","Total, all industries","51","VA"
Washington,"2001Q2","219729","2752708","","727","","Total, all industries","53","WA"
West Virginia,"2001Q2","46643","695599","","545","","Total, all industries","54","WV"
Wisconsin,"2001Q2","148164","2782981","","594","","Total, all industries","55","WI"
Wyoming,"2001Q2","21388","249165","","527","","Total, all industries","56","WY"
Puerto Rico,"2001Q2","52296","1008169","","371","","Total, all industries","72","PR"
Virgin Islands,"2001Q2","3247","45181","","545","","Total, all industries","78","VI"
 
