"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2020Q2","130654","1869064","-6.4","964","5.9","Total, all industries","01","AL"
Alaska,"2020Q2","22382","295672","-12.9","1195","11.2","Total, all industries","02","AK"
Arizona,"2020Q2","167913","2713484","-4.9","1090","7.9","Total, all industries","04","AZ"
Arkansas,"2020Q2","92803","1154662","-5.6","926","7.5","Total, all industries","05","AR"
California,"2020Q2","1606809","15885269","-10.3","1469","11.0","Total, all industries","06","CA"
Colorado,"2020Q2","217301","2543919","-8.0","1229","9.0","Total, all industries","08","CO"
Connecticut,"2020Q2","123581","1487236","-12.1","1402","10.9","Total, all industries","09","CT"
Delaware,"2020Q2","34880","418708","-8.7","1146","8.0","Total, all industries","10","DE"
District Of Columbia,"2020Q2","41602","701222","-10.0","1989","11.8","Total, all industries","11","DC"
Florida,"2020Q2","737839","8112630","-7.1","1033","6.7","Total, all industries","12","FL"
Georgia,"2020Q2","304345","4182583","-7.3","1076","5.8","Total, all industries","13","GA"
Hawaii,"2020Q2","45082","523959","-20.2","1109","12.1","Total, all industries","15","HI"
Idaho,"2020Q2","68107","747412","-2.4","883","7.7","Total, all industries","16","ID"
Illinois,"2020Q2","375233","5394655","-11.3","1217","8.5","Total, all industries","17","IL"
Indiana,"2020Q2","173212","2862909","-7.4","961","5.7","Total, all industries","18","IN"
Iowa,"2020Q2","104802","1458136","-8.0","978","8.4","Total, all industries","19","IA"
Kansas,"2020Q2","86716","1303230","-7.2","969","7.1","Total, all industries","20","KS"
Kentucky,"2020Q2","126062","1753501","-8.2","971","6.5","Total, all industries","21","KY"
Louisiana,"2020Q2","136865","1713358","-10.9","985","6.7","Total, all industries","22","LA"
Maine,"2020Q2","53774","572941","-10.8","981","12.4","Total, all industries","23","ME"
Maryland,"2020Q2","175127","2433451","-11.1","1306","10.8","Total, all industries","24","MD"
Massachusetts,"2020Q2","259553","3175730","-14.4","1573","14.2","Total, all industries","25","MA"
Michigan,"2020Q2","268865","3852409","-12.9","1115","9.6","Total, all industries","26","MI"
Minnesota,"2020Q2","180307","2645528","-10.5","1200","9.0","Total, all industries","27","MN"
Mississippi,"2020Q2","73616","1063149","-6.4","812","5.9","Total, all industries","28","MS"
Missouri,"2020Q2","215520","2620221","-7.6","1015","7.1","Total, all industries","29","MO"
Montana,"2020Q2","51596","458584","-5.1","918","9.0","Total, all industries","30","MT"
Nebraska,"2020Q2","69535","931518","-6.1","960","8.0","Total, all industries","31","NE"
Nevada,"2020Q2","84961","1187233","-15.7","1050","9.3","Total, all industries","32","NV"
New Hampshire,"2020Q2","54572","604987","-10.5","1216","11.6","Total, all industries","33","NH"
New Jersey,"2020Q2","278843","3564805","-14.8","1376","11.3","Total, all industries","34","NJ"
New Mexico,"2020Q2","62795","758093","-9.3","959","7.9","Total, all industries","35","NM"
New York,"2020Q2","644408","8139345","-15.9","1520","12.8","Total, all industries","36","NY"
North Carolina,"2020Q2","297421","4207330","-6.8","1039","7.0","Total, all industries","37","NC"
North Dakota,"2020Q2","32373","390612","-9.5","1061","3.3","Total, all industries","38","ND"
Ohio,"2020Q2","303185","5047286","-8.0","1031","7.0","Total, all industries","39","OH"
Oklahoma,"2020Q2","112056","1521845","-6.2","940","4.4","Total, all industries","40","OK"
Oregon,"2020Q2","160189","1798686","-9.2","1141","10.1","Total, all industries","41","OR"
Pennsylvania,"2020Q2","358532","5310378","-11.1","1170","9.2","Total, all industries","42","PA"
Rhode Island,"2020Q2","39455","429219","-13.2","1172","13.1","Total, all industries","44","RI"
South Carolina,"2020Q2","144400","1994053","-7.1","929","7.0","Total, all industries","45","SC"
South Dakota,"2020Q2","34678","415815","-6.0","912","9.0","Total, all industries","46","SD"
Tennessee,"2020Q2","170465","2843535","-6.7","1017","5.4","Total, all industries","47","TN"
Texas,"2020Q2","731133","11799512","-6.4","1156","5.0","Total, all industries","48","TX"
Utah,"2020Q2","111168","1473936","-3.1","1017","9.1","Total, all industries","49","UT"
Vermont,"2020Q2","26128","272134","-13.5","1055","13.6","Total, all industries","50","VT"
Virginia,"2020Q2","282013","3632135","-8.8","1218","9.4","Total, all industries","51","VA"
Washington,"2020Q2","255495","3194014","-8.8","1428","11.0","Total, all industries","53","WA"
West Virginia,"2020Q2","51010","633189","-9.6","934","5.1","Total, all industries","54","WV"
Wisconsin,"2020Q2","176553","2691975","-8.6","1014","8.0","Total, all industries","55","WI"
Wyoming,"2020Q2","27122","260612","-9.6","965","3.7","Total, all industries","56","WY"
Puerto Rico,"2020Q2","45310","798158","-8.0","556","4.7","Total, all industries","72","PR"
Virgin Islands,"2020Q2","3376","35686","-6.1","1008","6.1","Total, all industries","78","VI"
 
