"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2005Q3","117348","1907760","2.6","669","6.4","Total, all industries","01","AL"
Alaska,"2005Q3","20739","320398","1.9","797","5.6","Total, all industries","02","AK"
Arizona,"2005Q3","138748","2523139","6.5","745","7.8","Total, all industries","04","AZ"
Arkansas,"2005Q3","77950","1165837","1.9","599","4.9","Total, all industries","05","AR"
California,"2005Q3","1225867","15426473","2.4","887","7.0","Total, all industries","06","CA"
Colorado,"2005Q3","171811","2212360","2.3","808","7.3","Total, all industries","08","CO"
Connecticut,"2005Q3","110549","1654523","0.8","966","5.3","Total, all industries","09","CT"
Delaware,"2005Q3","30402","422389","1.8","822","6.9","Total, all industries","10","DE"
District Of Columbia,"2005Q3","30900","669631","1.3","1262","4.3","Total, all industries","11","DC"
Florida,"2005Q3","560846","7792697","5.4","708","8.1","Total, all industries","12","FL"
Georgia,"2005Q3","254389","3961525","3.2","748","5.2","Total, all industries","13","GA"
Hawaii,"2005Q3","36235","607046","3.4","714","5.8","Total, all industries","15","HI"
Idaho,"2005Q3","52368","635188","4.4","605","6.0","Total, all industries","16","ID"
Illinois,"2005Q3","339838","5820826","1.2","825","5.9","Total, all industries","17","IL"
Indiana,"2005Q3","153757","2915118","0.9","689","5.2","Total, all industries","18","IN"
Iowa,"2005Q3","91928","1462563","2.0","641","6.1","Total, all industries","19","IA"
Kansas,"2005Q3","83419","1315952","0.5","658","6.3","Total, all industries","20","KS"
Kentucky,"2005Q3","106680","1779251","1.9","652","5.3","Total, all industries","21","KY"
Louisiana,"2005Q3","119996","1771024","-4.8","638","7.0","Total, all industries","22","LA"
Maine,"2005Q3","48557","606469","-0.4","631","4.6","Total, all industries","23","ME"
Maryland,"2005Q3","159291","2526952","1.9","854","7.6","Total, all industries","24","MD"
Massachusetts,"2005Q3","218646","3198502","1.0","947","4.5","Total, all industries","25","MA"
Michigan,"2005Q3","258316","4359455","0.1","788","4.2","Total, all industries","26","MI"
Minnesota,"2005Q3","166848","2684564","1.9","789","4.8","Total, all industries","27","MN"
Mississippi,"2005Q3","67810","1101902","-1.1","573","5.9","Total, all industries","28","MS"
Missouri,"2005Q3","170677","2696094","1.6","691","5.5","Total, all industries","29","MO"
Montana,"2005Q3","40451","424490","2.8","564","7.6","Total, all industries","30","MT"
Nebraska,"2005Q3","57082","897265","1.1","633","5.3","Total, all industries","31","NE"
Nevada,"2005Q3","67763","1241634","6.2","751","6.8","Total, all industries","32","NV"
New Hampshire,"2005Q3","47657","630839","1.3","772","5.8","Total, all industries","33","NH"
New Jersey,"2005Q3","273449","3957832","1.1","928","5.8","Total, all industries","34","NJ"
New Mexico,"2005Q3","50449","790952","3.0","629","6.8","Total, all industries","35","NM"
New York,"2005Q3","559423","8401172","1.0","940","5.6","Total, all industries","36","NY"
North Carolina,"2005Q3","235134","3911177","2.1","689","5.5","Total, all industries","37","NC"
North Dakota,"2005Q3","24880","335364","2.4","581","6.0","Total, all industries","38","ND"
Ohio,"2005Q3","290050","5356215","0.4","723","5.5","Total, all industries","39","OH"
Oklahoma,"2005Q3","94648","1484507","3.0","613","5.9","Total, all industries","40","OK"
Oregon,"2005Q3","122704","1684005","3.5","714","5.6","Total, all industries","41","OR"
Pennsylvania,"2005Q3","329010","5599448","1.1","764","5.7","Total, all industries","42","PA"
Rhode Island,"2005Q3","35880","486882","0.5","736","4.1","Total, all industries","44","RI"
South Carolina,"2005Q3","119595","1833157","1.7","635","5.3","Total, all industries","45","SC"
South Dakota,"2005Q3","29251","381783","1.7","567","5.4","Total, all industries","46","SD"
Tennessee,"2005Q3","132528","2722860","2.0","690","4.7","Total, all industries","47","TN"
Texas,"2005Q3","526067","9671905","3.3","767","6.7","Total, all industries","48","TX"
Utah,"2005Q3","81936","1134596","4.7","647","6.6","Total, all industries","49","UT"
Vermont,"2005Q3","24691","304027","0.4","663","4.7","Total, all industries","50","VT"
Virginia,"2005Q3","213158","3615157","2.6","816","7.8","Total, all industries","51","VA"
Washington,"2005Q3","210909","2819487","2.5","801","6.5","Total, all industries","53","WA"
West Virginia,"2005Q3","48124","703332","1.3","589","5.4","Total, all industries","54","WV"
Wisconsin,"2005Q3","161958","2787886","1.3","686","5.1","Total, all industries","55","WI"
Wyoming,"2005Q3","23187","262215","3.4","642","8.6","Total, all industries","56","WY"
Puerto Rico,"2005Q3","57565","1040200","-0.3","434","3.6","Total, all industries","72","PR"
Virgin Islands,"2005Q3","3511","44109","3.3","615","2.7","Total, all industries","78","VI"
 
