"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2003Q1","110312","1819489","-0.4","612","3.9","Total, all industries","01","AL"
Alaska,"2003Q1","19082","282310","1.8","707","0.6","Total, all industries","02","AK"
Arizona,"2003Q1","123560","2281885","1.3","654","1.4","Total, all industries","04","AZ"
Arkansas,"2003Q1","74353","1112779","-0.6","545","2.1","Total, all industries","05","AR"
California,"2003Q1","1158516","14717930","-0.2","818","1.0","Total, all industries","06","CA"
Colorado,"2003Q1","158540","2099241","-1.8","743","1.1","Total, all industries","08","CO"
Connecticut,"2003Q1","107800","1613613","-1.9","979","2.5","Total, all industries","09","CT"
Delaware,"2003Q1","26129","392792","-0.4","824","0.9","Total, all industries","10","DE"
District Of Columbia,"2003Q1","29127","649740","0.7","1139","3.2","Total, all industries","11","DC"
Florida,"2003Q1","488142","7302735","1.2","630","2.3","Total, all industries","12","FL"
Georgia,"2003Q1","237656","3763452","-0.9","715","2.4","Total, all industries","13","GA"
Hawaii,"2003Q1","36382","568852","2.5","636","2.6","Total, all industries","15","HI"
Idaho,"2003Q1","47566","560336","1.8","540","1.1","Total, all industries","16","ID"
Illinois,"2003Q1","322175","5636504","-1.3","791","1.4","Total, all industries","17","IL"
Indiana,"2003Q1","153494","2790055","-0.2","642","2.1","Total, all industries","18","IN"
Iowa,"2003Q1","89382","1379612","-0.7","583","3.0","Total, all industries","19","IA"
Kansas,"2003Q1","81571","1278012","-1.4","607","2.4","Total, all industries","20","KS"
Kentucky,"2003Q1","106296","1698307","-0.5","604","3.2","Total, all industries","21","KY"
Louisiana,"2003Q1","115737","1845727","0.2","581","1.4","Total, all industries","22","LA"
Maine,"2003Q1","46431","569957","-0.2","588","3.0","Total, all industries","23","ME"
Maryland,"2003Q1","149503","2400258","-0.5","775","2.4","Total, all industries","24","MD"
Massachusetts,"2003Q1","200618","3102462","-2.3","900","1.6","Total, all industries","25","MA"
Michigan,"2003Q1","251736","4268849","-1.4","762","4.4","Total, all industries","26","MI"
Minnesota,"2003Q1","157603","2531102","-0.3","740","2.2","Total, all industries","27","MN"
Mississippi,"2003Q1","64549","1089776","-0.9","522","3.6","Total, all industries","28","MS"
Missouri,"2003Q1","166490","2600698","-0.1","648","0.9","Total, all industries","29","MO"
Montana,"2003Q1","41574","384483","1.8","492","2.7","Total, all industries","30","MT"
Nebraska,"2003Q1","54757","862002","0.0","579","3.0","Total, all industries","31","NE"
Nevada,"2003Q1","56238","1062938","3.2","662","2.3","Total, all industries","32","NV"
New Hampshire,"2003Q1","45659","592330","-0.5","699","3.2","Total, all industries","33","NH"
New Jersey,"2003Q1","256706","3800560","-1.2","915","0.5","Total, all industries","34","NJ"
New Mexico,"2003Q1","50331","736141","1.1","565","1.8","Total, all industries","35","NM"
New York,"2003Q1","539152","8166738","-0.6","978","-1.6","Total, all industries","36","NY"
North Carolina,"2003Q1","223566","3695864","-1.2","651","2.2","Total, all industries","37","NC"
North Dakota,"2003Q1","23718","307268","0.9","519","3.8","Total, all industries","38","ND"
Ohio,"2003Q1","289564","5208272","-1.2","680","3.2","Total, all industries","39","OH"
Oklahoma,"2003Q1","91575","1410856","-2.4","563","2.6","Total, all industries","40","OK"
Oregon,"2003Q1","114101","1542747","-0.4","652","1.2","Total, all industries","41","OR"
Pennsylvania,"2003Q1","320113","5416443","-0.8","713","2.1","Total, all industries","42","PA"
Rhode Island,"2003Q1","34199","460794","0.1","713","5.9","Total, all industries","44","RI"
South Carolina,"2003Q1","121762","1763829","0.6","585","2.5","Total, all industries","45","SC"
South Dakota,"2003Q1","27611","354359","0.4","514","3.2","Total, all industries","46","SD"
Tennessee,"2003Q1","126737","2582027","0.1","632","2.4","Total, all industries","47","TN"
Texas,"2003Q1","500802","9191354","-0.7","709","0.6","Total, all industries","48","TX"
Utah,"2003Q1","70310","1027185","-0.3","585","0.2","Total, all industries","49","UT"
Vermont,"2003Q1","23760","291745","-0.8","599","2.0","Total, all industries","50","VT"
Virginia,"2003Q1","198085","3365933","-0.5","738","2.9","Total, all industries","51","VA"
Washington,"2003Q1","232230","2600087","0.4","742","0.1","Total, all industries","53","WA"
West Virginia,"2003Q1","46773","667637","-1.2","561","2.2","Total, all industries","54","WV"
Wisconsin,"2003Q1","154600","2634949","-0.2","638","2.6","Total, all industries","55","WI"
Wyoming,"2003Q1","21588","231363","-0.1","560","2.4","Total, all industries","56","WY"
Puerto Rico,"2003Q1","51702","1021185","2.0","402","3.9","Total, all industries","72","PR"
Virgin Islands,"2003Q1","3212","42273","-4.6","587","1.7","Total, all industries","78","VI"
 
