"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2021Q3","139821","1955314","2.6","1030","5.3","Total, all industries","01","AL"
Alaska,"2021Q3","24019","316920","4.6","1205","3.4","Total, all industries","02","AK"
Arizona,"2021Q3","184450","2926276","4.6","1167","7.0","Total, all industries","04","AZ"
Arkansas,"2021Q3","97370","1212883","2.9","963","7.8","Total, all industries","05","AR"
California,"2021Q3","1679627","17208712","6.6","1576","7.7","Total, all industries","06","CA"
Colorado,"2021Q3","231797","2723380","4.8","1322","7.0","Total, all industries","08","CO"
Connecticut,"2021Q3","131984","1605080","2.9","1401","5.7","Total, all industries","09","CT"
Delaware,"2021Q3","35949","439677","2.1","1198","4.4","Total, all industries","10","DE"
District Of Columbia,"2021Q3","45352","736122","3.1","2042","4.1","Total, all industries","11","DC"
Florida,"2021Q3","808370","8910914","7.0","1120","8.7","Total, all industries","12","FL"
Georgia,"2021Q3","343937","4491441","4.9","1158","6.8","Total, all industries","13","GA"
Hawaii,"2021Q3","49229","592837","16.6","1150","3.3","Total, all industries","15","HI"
Idaho,"2021Q3","79151","804027","5.3","953","7.8","Total, all industries","16","ID"
Illinois,"2021Q3","398367","5751178","3.3","1274","6.3","Total, all industries","17","IL"
Indiana,"2021Q3","178927","3020609","2.6","1032","7.4","Total, all industries","18","IN"
Iowa,"2021Q3","106802","1509631","2.2","1015","4.9","Total, all industries","19","IA"
Kansas,"2021Q3","92070","1349306","1.7","997","4.7","Total, all industries","20","KS"
Kentucky,"2021Q3","134275","1868960","3.4","989","5.8","Total, all industries","21","KY"
Louisiana,"2021Q3","144201","1772748","1.7","1021","5.4","Total, all industries","22","LA"
Maine,"2021Q3","58474","619916","3.6","1031","6.7","Total, all industries","23","ME"
Maryland,"2021Q3","178057","2604555","3.9","1314","3.5","Total, all industries","24","MD"
Massachusetts,"2021Q3","281364","3501008","5.5","1593","7.0","Total, all industries","25","MA"
Michigan,"2021Q3","271305","4181372","3.6","1154","5.3","Total, all industries","26","MI"
Minnesota,"2021Q3","186927","2780520","2.7","1249","6.1","Total, all industries","27","MN"
Mississippi,"2021Q3","77296","1122221","2.6","859","6.3","Total, all industries","28","MS"
Missouri,"2021Q3","223918","2760342","2.9","1055","6.0","Total, all industries","29","MO"
Montana,"2021Q3","57018","487531","4.4","963","6.5","Total, all industries","30","MT"
Nebraska,"2021Q3","75574","964631","1.4","1017","5.5","Total, all industries","31","NE"
Nevada,"2021Q3","96014","1389464","10.8","1135","8.3","Total, all industries","32","NV"
New Hampshire,"2021Q3","59992","654611","3.3","1349","15.0","Total, all industries","33","NH"
New Jersey,"2021Q3","304140","3977249","5.1","1384","4.1","Total, all industries","34","NJ"
New Mexico,"2021Q3","64825","806230","4.2","997","5.6","Total, all industries","35","NM"
New York,"2021Q3","671247","8922380","4.4","1534","6.1","Total, all industries","36","NY"
North Carolina,"2021Q3","318383","4516417","4.5","1112","7.1","Total, all industries","37","NC"
North Dakota,"2021Q3","33001","407247","2.2","1076","5.1","Total, all industries","38","ND"
Ohio,"2021Q3","315687","5248006","2.2","1098","5.6","Total, all industries","39","OH"
Oklahoma,"2021Q3","116357","1576638","1.8","966","5.6","Total, all industries","40","OK"
Oregon,"2021Q3","171221","1909492","3.7","1220","9.6","Total, all industries","41","OR"
Pennsylvania,"2021Q3","375378","5685429","3.2","1205","5.8","Total, all industries","42","PA"
Rhode Island,"2021Q3","43150","474081","4.8","1131","3.6","Total, all industries","44","RI"
South Carolina,"2021Q3","152920","2086007","2.8","988","6.9","Total, all industries","45","SC"
South Dakota,"2021Q3","36990","435557","3.1","965","5.1","Total, all industries","46","SD"
Tennessee,"2021Q3","187717","3044134","4.2","1111","8.7","Total, all industries","47","TN"
Texas,"2021Q3","770012","12613071","5.6","1227","6.7","Total, all industries","48","TX"
Utah,"2021Q3","123134","1594663","5.0","1087","7.1","Total, all industries","49","UT"
Vermont,"2021Q3","28051","293520","2.7","1055","5.8","Total, all industries","50","VT"
Virginia,"2021Q3","299224","3845272","2.9","1264","5.3","Total, all industries","51","VA"
Washington,"2021Q3","266581","3415150","4.4","1578","6.6","Total, all industries","53","WA"
West Virginia,"2021Q3","53563","664189","2.7","960","5.0","Total, all industries","54","WV"
Wisconsin,"2021Q3","189527","2815943","2.3","1049","7.5","Total, all industries","55","WI"
Wyoming,"2021Q3","28669","271054","2.5","995","6.0","Total, all industries","56","WY"
Puerto Rico,"2021Q3","47872","887941","6.5","568","4.0","Total, all industries","72","PR"
Virgin Islands,"2021Q3","3628","34496","1.9","956","-5.4","Total, all industries","78","VI"
 
