"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2009Q1","117705","1842217","-5.3","737","-0.3","Total, all industries","01","AL"
Alaska,"2009Q1","21137","303629","0.2","886","2.4","Total, all industries","02","AK"
Arizona,"2009Q1","149939","2458533","-7.0","807","-1.3","Total, all industries","04","AZ"
Arkansas,"2009Q1","85719","1145514","-2.8","694","4.0","Total, all industries","05","AR"
California,"2009Q1","1309175","14728743","-5.1","994","-1.2","Total, all industries","06","CA"
Colorado,"2009Q1","176318","2210836","-3.9","913","-0.8","Total, all industries","08","CO"
Connecticut,"2009Q1","112408","1618846","-3.8","1191","-5.4","Total, all industries","09","CT"
Delaware,"2009Q1","29387","399958","-5.0","976","-0.7","Total, all industries","10","DE"
District Of Columbia,"2009Q1","33324","676935","-0.4","1464","-1.7","Total, all industries","11","DC"
Florida,"2009Q1","597742","7350059","-7.0","770","-0.9","Total, all industries","12","FL"
Georgia,"2009Q1","270416","3826360","-5.6","832","-1.3","Total, all industries","13","GA"
Hawaii,"2009Q1","38310","600133","-4.7","774","0.3","Total, all industries","15","HI"
Idaho,"2009Q1","56034","601563","-6.5","638","0.3","Total, all industries","16","ID"
Illinois,"2009Q1","372491","5550697","-4.2","950","-3.1","Total, all industries","17","IL"
Indiana,"2009Q1","160252","2701754","-5.5","739","-2.4","Total, all industries","18","IN"
Iowa,"2009Q1","94166","1433275","-2.5","708","-0.3","Total, all industries","19","IA"
Kansas,"2009Q1","87046","1325241","-2.7","719","-2.3","Total, all industries","20","KS"
Kentucky,"2009Q1","109226","1709510","-4.7","712","-0.3","Total, all industries","21","KY"
Louisiana,"2009Q1","124217","1866478","-1.1","773","0.9","Total, all industries","22","LA"
Maine,"2009Q1","50277","562866","-3.7","688","-1.9","Total, all industries","23","ME"
Maryland,"2009Q1","165179","2453948","-3.0","963","0.0","Total, all industries","24","MD"
Massachusetts,"2009Q1","212203","3106942","-3.1","1100","-3.8","Total, all industries","25","MA"
Michigan,"2009Q1","253700","3762523","-7.3","825","-3.7","Total, all industries","26","MI"
Minnesota,"2009Q1","162938","2540585","-3.9","881","-3.0","Total, all industries","27","MN"
Mississippi,"2009Q1","70303","1087987","-4.4","633","-0.2","Total, all industries","28","MS"
Missouri,"2009Q1","173123","2618318","-3.4","769","-0.1","Total, all industries","29","MO"
Montana,"2009Q1","42549","413470","-4.3","628","0.5","Total, all industries","30","MT"
Nebraska,"2009Q1","59521","895302","-1.9","699","1.7","Total, all industries","31","NE"
Nevada,"2009Q1","76293","1151303","-9.0","810","-3.5","Total, all industries","32","NV"
New Hampshire,"2009Q1","48286","600141","-3.4","838","-2.9","Total, all industries","33","NH"
New Jersey,"2009Q1","262260","3766520","-4.3","1101","-2.7","Total, all industries","34","NJ"
New Mexico,"2009Q1","54155","793377","-3.6","722","0.6","Total, all industries","35","NM"
New York,"2009Q1","580075","8331847","-2.6","1207","-13.8","Total, all industries","36","NY"
North Carolina,"2009Q1","254869","3847456","-5.4","767","-2.7","Total, all industries","37","NC"
North Dakota,"2009Q1","25615","341965","-0.4","667","2.1","Total, all industries","38","ND"
Ohio,"2009Q1","291917","4937838","-4.8","789","-1.1","Total, all industries","39","OH"
Oklahoma,"2009Q1","100889","1519874","-1.8","708","-0.4","Total, all industries","40","OK"
Oregon,"2009Q1","124612","1600586","-6.5","772","-0.6","Total, all industries","41","OR"
Pennsylvania,"2009Q1","339543","5449673","-2.9","861","-0.8","Total, all industries","42","PA"
Rhode Island,"2009Q1","35507","442209","-4.9","830","-2.5","Total, all industries","44","RI"
South Carolina,"2009Q1","113200","1775804","-6.1","693","-0.3","Total, all industries","45","SC"
South Dakota,"2009Q1","30408","382592","-1.7","630","-0.3","Total, all industries","46","SD"
Tennessee,"2009Q1","141412","2579651","-5.9","752","-1.2","Total, all industries","47","TN"
Texas,"2009Q1","566356","10229333","-1.8","886","-1.9","Total, all industries","48","TX"
Utah,"2009Q1","85061","1161719","-4.7","727","1.3","Total, all industries","49","UT"
Vermont,"2009Q1","24943","291449","-3.2","719","-2.0","Total, all industries","50","VT"
Virginia,"2009Q1","228682","3536657","-3.1","920","0.1","Total, all industries","51","VA"
Washington,"2009Q1","218773","2813414","-3.7","903","0.4","Total, all industries","53","WA"
West Virginia,"2009Q1","48256","689902","-1.5","704","4.0","Total, all industries","54","WV"
Wisconsin,"2009Q1","156361","2620245","-4.2","747","-1.6","Total, all industries","55","WI"
Wyoming,"2009Q1","25032","272622","-1.8","778","-0.1","Total, all industries","56","WY"
Puerto Rico,"2009Q1","53701","968454","-4.0","497","1.6","Total, all industries","72","PR"
Virgin Islands,"2009Q1","3590","44672","-4.2","685","-3.1","Total, all industries","78","VI"
 
