"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2010Q3","116523","1814577","-0.1","774","4.0","Total, all industries","01","AL"
Alaska,"2010Q3","21500","334517","1.6","926","4.4","Total, all industries","02","AK"
Arizona,"2010Q3","144680","2343250","-0.9","820","2.5","Total, all industries","04","AZ"
Arkansas,"2010Q3","84997","1146958","0.8","684","3.8","Total, all industries","05","AR"
California,"2010Q3","1343687","14464954","-0.3","984","3.5","Total, all industries","06","CA"
Colorado,"2010Q3","173183","2183919","-0.2","898","2.5","Total, all industries","08","CO"
Connecticut,"2010Q3","111113","1611826","0.0","1068","4.2","Total, all industries","09","CT"
Delaware,"2010Q3","28567","405107","0.9","900","2.2","Total, all industries","10","DE"
District Of Columbia,"2010Q3","35098","693334","2.0","1470","1.1","Total, all industries","11","DC"
Florida,"2010Q3","590003","7050344","0.0","779","2.6","Total, all industries","12","FL"
Georgia,"2010Q3","266337","3749851","-0.1","823","2.7","Total, all industries","13","GA"
Hawaii,"2010Q3","38211","586508","0.0","804","2.2","Total, all industries","15","HI"
Idaho,"2010Q3","54662","617169","-1.0","666","2.9","Total, all industries","16","ID"
Illinois,"2010Q3","378646","5539813","0.0","916","4.0","Total, all industries","17","IL"
Indiana,"2010Q3","158719","2740983","0.9","742","3.9","Total, all industries","18","IN"
Iowa,"2010Q3","94415","1443569","-0.2","720","3.7","Total, all industries","19","IA"
Kansas,"2010Q3","87526","1297107","-0.9","731","3.5","Total, all industries","20","KS"
Kentucky,"2010Q3","110591","1728686","0.8","729","3.3","Total, all industries","21","KY"
Louisiana,"2010Q3","130948","1835548","0.1","790","3.9","Total, all industries","22","LA"
Maine,"2010Q3","49296","590095","-0.5","713","3.5","Total, all industries","23","ME"
Maryland,"2010Q3","163982","2470855","0.5","966","2.7","Total, all industries","24","MD"
Massachusetts,"2010Q3","221064","3171075","0.8","1070","4.6","Total, all industries","25","MA"
Michigan,"2010Q3","248643","3830127","1.0","839","3.7","Total, all industries","26","MI"
Minnesota,"2010Q3","163885","2578578","0.6","874","4.5","Total, all industries","27","MN"
Mississippi,"2010Q3","69177","1080051","0.2","652","2.7","Total, all industries","28","MS"
Missouri,"2010Q3","174303","2595107","-0.6","764","2.7","Total, all industries","29","MO"
Montana,"2010Q3","42314","428406","0.0","647","1.6","Total, all industries","30","MT"
Nebraska,"2010Q3","60128","900895","-0.1","707","2.6","Total, all industries","31","NE"
Nevada,"2010Q3","71053","1107290","-1.7","814","1.1","Total, all industries","32","NV"
New Hampshire,"2010Q3","48140","609007","0.1","855","3.0","Total, all industries","33","NH"
New Jersey,"2010Q3","265486","3749932","-0.7","1025","2.9","Total, all industries","34","NJ"
New Mexico,"2010Q3","54833","785680","-1.0","744","2.8","Total, all industries","35","NM"
New York,"2010Q3","585952","8365450","0.6","1057","4.3","Total, all industries","36","NY"
North Carolina,"2010Q3","251729","3814398","0.0","768","3.1","Total, all industries","37","NC"
North Dakota,"2010Q3","26356","366334","3.1","726","6.8","Total, all industries","38","ND"
Ohio,"2010Q3","287105","4945987","0.4","790","3.3","Total, all industries","39","OH"
Oklahoma,"2010Q3","102217","1491718","0.1","725","3.9","Total, all industries","40","OK"
Oregon,"2010Q3","127419","1622103","0.4","790","3.0","Total, all industries","41","OR"
Pennsylvania,"2010Q3","340150","5504007","0.9","859","4.0","Total, all industries","42","PA"
Rhode Island,"2010Q3","35159","455601","0.7","827","4.3","Total, all industries","44","RI"
South Carolina,"2010Q3","109251","1764513","0.6","712","3.6","Total, all industries","45","SC"
South Dakota,"2010Q3","30922","393948","0.5","660","4.3","Total, all industries","46","SD"
Tennessee,"2010Q3","139109","2576997","0.7","778","4.4","Total, all industries","47","TN"
Texas,"2010Q3","575203","10201795","1.4","877","3.8","Total, all industries","48","TX"
Utah,"2010Q3","83142","1159831","0.4","741","2.3","Total, all industries","49","UT"
Vermont,"2010Q3","24253","294740","0.6","753","2.7","Total, all industries","50","VT"
Virginia,"2010Q3","230603","3544924","0.4","930","3.8","Total, all industries","51","VA"
Washington,"2010Q3","234164","2855564","-0.3","953","4.0","Total, all industries","53","WA"
West Virginia,"2010Q3","48373","699911","1.2","701","4.2","Total, all industries","54","WV"
Wisconsin,"2010Q3","156356","2661328","0.7","750","3.3","Total, all industries","55","WI"
Wyoming,"2010Q3","25020","279464","0.2","792","4.8","Total, all industries","56","WY"
Puerto Rico,"2010Q3","49582","912058","-2.4","500","1.2","Total, all industries","72","PR"
Virgin Islands,"2010Q3","3645","43350","2.0","757","4.7","Total, all industries","78","VI"
 
