"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2008Q2","121341","1956613","-0.5","720","3.3","Total, all industries","01","AL"
Alaska,"2008Q2","21381","330993","1.5","860","3.1","Total, all industries","02","AK"
Arizona,"2008Q2","160558","2543950","-2.6","806","2.4","Total, all industries","04","AZ"
Arkansas,"2008Q2","85556","1185368","0.0","661","3.4","Total, all industries","05","AR"
California,"2008Q2","1313565","15748201","-0.5","955","2.2","Total, all industries","06","CA"
Colorado,"2008Q2","179343","2346815","0.8","858","3.1","Total, all industries","08","CO"
Connecticut,"2008Q2","113016","1719723","0.3","1037","0.4","Total, all industries","09","CT"
Delaware,"2008Q2","29500","430749","-0.1","861","-0.9","Total, all industries","10","DE"
District Of Columbia,"2008Q2","32727","691363","1.1","1434","6.0","Total, all industries","11","DC"
Florida,"2008Q2","618522","7600282","-3.6","763","2.7","Total, all industries","12","FL"
Georgia,"2008Q2","274945","4058338","-0.6","786","-0.8","Total, all industries","13","GA"
Hawaii,"2008Q2","38467","625098","-1.1","763","3.8","Total, all industries","15","HI"
Idaho,"2008Q2","56614","671394","-1.0","636","1.6","Total, all industries","16","ID"
Illinois,"2008Q2","367047","5930327","-0.4","893","2.3","Total, all industries","17","IL"
Indiana,"2008Q2","160613","2905490","-0.9","715","1.9","Total, all industries","18","IN"
Iowa,"2008Q2","94154","1523079","0.2","683","2.9","Total, all industries","19","IA"
Kansas,"2008Q2","86323","1388853","1.1","720","2.4","Total, all industries","20","KS"
Kentucky,"2008Q2","111164","1818026","-0.6","718","2.6","Total, all industries","21","KY"
Louisiana,"2008Q2","123400","1898885","1.1","751","5.6","Total, all industries","22","LA"
Maine,"2008Q2","50816","620908","0.1","676","2.7","Total, all industries","23","ME"
Maryland,"2008Q2","166324","2577768","-0.3","920","2.8","Total, all industries","24","MD"
Massachusetts,"2008Q2","212940","3317820","0.3","1044","3.6","Total, all industries","25","MA"
Michigan,"2008Q2","259386","4165325","-2.1","824","2.2","Total, all industries","26","MI"
Minnesota,"2008Q2","168370","2737020","-0.4","849","1.8","Total, all industries","27","MN"
Mississippi,"2008Q2","70349","1138993","0.1","635","4.4","Total, all industries","28","MS"
Missouri,"2008Q2","175234","2761886","0.0","753","3.6","Total, all industries","29","MO"
Montana,"2008Q2","42898","450125","0.1","630","3.1","Total, all industries","30","MT"
Nebraska,"2008Q2","59499","935433","0.5","676","3.4","Total, all industries","31","NE"
Nevada,"2008Q2","76947","1272077","-1.9","796","2.6","Total, all industries","32","NV"
New Hampshire,"2008Q2","49130","642464","-0.3","835","1.5","Total, all industries","33","NH"
New Jersey,"2008Q2","273489","4047968","-0.6","1004","1.6","Total, all industries","34","NJ"
New Mexico,"2008Q2","54163","836895","0.6","717","4.5","Total, all industries","35","NM"
New York,"2008Q2","579617","8762575","0.7","1040","2.3","Total, all industries","36","NY"
North Carolina,"2008Q2","256352","4070790","-0.4","736","2.5","Total, all industries","37","NC"
North Dakota,"2008Q2","25638","356495","2.5","655","6.0","Total, all industries","38","ND"
Ohio,"2008Q2","294404","5317616","-1.3","756","2.2","Total, all industries","39","OH"
Oklahoma,"2008Q2","100753","1557845","1.2","702","5.4","Total, all industries","40","OK"
Oregon,"2008Q2","126374","1746100","-0.8","764","3.0","Total, all industries","41","OR"
Pennsylvania,"2008Q2","340949","5746784","0.1","827","3.1","Total, all industries","42","PA"
Rhode Island,"2008Q2","35788","481691","-2.2","796","2.8","Total, all industries","44","RI"
South Carolina,"2008Q2","118548","1909888","-0.4","681","2.4","Total, all industries","45","SC"
South Dakota,"2008Q2","30482","408936","1.2","606","2.9","Total, all industries","46","SD"
Tennessee,"2008Q2","142715","2751035","-0.5","745","1.9","Total, all industries","47","TN"
Texas,"2008Q2","563860","10511424","2.2","849","2.5","Total, all industries","48","TX"
Utah,"2008Q2","86534","1234158","0.1","716","2.6","Total, all industries","49","UT"
Vermont,"2008Q2","25035","306201","-0.7","718","3.0","Total, all industries","50","VT"
Virginia,"2008Q2","229753","3719205","-0.3","885","3.0","Total, all industries","51","VA"
Washington,"2008Q2","220857","3004227","0.5","862","3.4","Total, all industries","53","WA"
West Virginia,"2008Q2","48674","715677","0.0","695","5.1","Total, all industries","54","WV"
Wisconsin,"2008Q2","160592","2840648","-0.4","729","3.0","Total, all industries","55","WI"
Wyoming,"2008Q2","24983","297210","2.9","780","5.4","Total, all industries","56","WY"
Puerto Rico,"2008Q2","56763","1000347","-1.8","473","3.1","Total, all industries","72","PR"
Virgin Islands,"2008Q2","3625","46001","-2.0","703","-0.6","Total, all industries","78","VI"
 
