"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2021Q2","138096","1964338","5.1","1007","4.5","Total, all industries","01","AL"
Alaska,"2021Q2","23573","315636","6.8","1187","-0.7","Total, all industries","02","AK"
Arizona,"2021Q2","181159","2858398","5.3","1154","5.9","Total, all industries","04","AZ"
Arkansas,"2021Q2","95833","1207438","4.6","973","5.1","Total, all industries","05","AR"
California,"2021Q2","1652762","17001488","7.0","1578","7.4","Total, all industries","06","CA"
Colorado,"2021Q2","228963","2725352","7.1","1282","4.3","Total, all industries","08","CO"
Connecticut,"2021Q2","129984","1604807","7.9","1409","0.5","Total, all industries","09","CT"
Delaware,"2021Q2","35806","442576","5.7","1164","1.6","Total, all industries","10","DE"
District Of Columbia,"2021Q2","43954","725387","3.4","2095","5.3","Total, all industries","11","DC"
Florida,"2021Q2","791498","8691587","7.1","1114","7.8","Total, all industries","12","FL"
Georgia,"2021Q2","334634","4456173","6.5","1139","5.9","Total, all industries","13","GA"
Hawaii,"2021Q2","48176","591684","12.9","1116","0.6","Total, all industries","15","HI"
Idaho,"2021Q2","77339","802256","7.3","930","5.3","Total, all industries","16","ID"
Illinois,"2021Q2","389814","5745293","6.5","1260","3.5","Total, all industries","17","IL"
Indiana,"2021Q2","179282","3012114","5.2","1013","5.4","Total, all industries","18","IN"
Iowa,"2021Q2","106464","1529141","4.9","999","2.1","Total, all industries","19","IA"
Kansas,"2021Q2","90540","1359124","4.3","994","2.6","Total, all industries","20","KS"
Kentucky,"2021Q2","132861","1853170","5.7","998","2.8","Total, all industries","21","KY"
Louisiana,"2021Q2","142792","1809883","5.6","1005","2.0","Total, all industries","22","LA"
Maine,"2021Q2","57398","624940","9.1","1006","2.5","Total, all industries","23","ME"
Maryland,"2021Q2","176767","2603811","7.0","1320","1.1","Total, all industries","24","MD"
Massachusetts,"2021Q2","275159","3502700","10.3","1591","1.1","Total, all industries","25","MA"
Michigan,"2021Q2","270679","4175524","8.4","1143","2.5","Total, all industries","26","MI"
Minnesota,"2021Q2","192866","2818000","6.5","1240","3.3","Total, all industries","27","MN"
Mississippi,"2021Q2","75818","1109840","4.4","842","3.7","Total, all industries","28","MS"
Missouri,"2021Q2","220293","2760821","5.4","1052","3.6","Total, all industries","29","MO"
Montana,"2021Q2","55092","491807","7.2","957","4.2","Total, all industries","30","MT"
Nebraska,"2021Q2","74364","976585","4.8","997","3.9","Total, all industries","31","NE"
Nevada,"2021Q2","93548","1356319","14.2","1106","5.3","Total, all industries","32","NV"
New Hampshire,"2021Q2","58203","658235","8.8","1345","10.6","Total, all industries","33","NH"
New Jersey,"2021Q2","297236","3991438","12.0","1387","0.8","Total, all industries","34","NJ"
New Mexico,"2021Q2","63445","793245","4.6","986","2.8","Total, all industries","35","NM"
New York,"2021Q2","664596","8888577","9.2","1540","1.3","Total, all industries","36","NY"
North Carolina,"2021Q2","311334","4512421","7.3","1092","5.1","Total, all industries","37","NC"
North Dakota,"2021Q2","32718","407667","4.4","1067","0.6","Total, all industries","38","ND"
Ohio,"2021Q2","313187","5270616","4.4","1069","3.7","Total, all industries","39","OH"
Oklahoma,"2021Q2","114986","1571326","3.3","964","2.6","Total, all industries","40","OK"
Oregon,"2021Q2","168464","1904504","5.9","1196","4.8","Total, all industries","41","OR"
Pennsylvania,"2021Q2","367199","5679628","7.0","1193","2.0","Total, all industries","42","PA"
Rhode Island,"2021Q2","42298","472725","10.1","1169","-0.3","Total, all industries","44","RI"
South Carolina,"2021Q2","150049","2093714","5.0","977","5.2","Total, all industries","45","SC"
South Dakota,"2021Q2","36283","442642","6.5","936","2.6","Total, all industries","46","SD"
Tennessee,"2021Q2","182093","3012292","5.9","1095","7.7","Total, all industries","47","TN"
Texas,"2021Q2","764751","12479979","5.8","1210","4.7","Total, all industries","48","TX"
Utah,"2021Q2","119822","1585496","7.6","1061","4.3","Total, all industries","49","UT"
Vermont,"2021Q2","27451","294022","8.0","1051","-0.4","Total, all industries","50","VT"
Virginia,"2021Q2","294023","3854830","6.1","1257","3.2","Total, all industries","51","VA"
Washington,"2021Q2","265534","3380086","5.8","1546","8.3","Total, all industries","53","WA"
West Virginia,"2021Q2","52856","664731","5.0","955","2.2","Total, all industries","54","WV"
Wisconsin,"2021Q2","186858","2849196","5.8","1037","2.3","Total, all industries","55","WI"
Wyoming,"2021Q2","28252","275919","5.9","986","2.2","Total, all industries","56","WY"
Puerto Rico,"2021Q2","47876","868135","8.8","567","2.0","Total, all industries","72","PR"
Virgin Islands,"2021Q2","3609","35421","-0.7","922","-8.5","Total, all industries","78","VI"
 
