"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2004Q3","114496","1858635","1.8","629","3.6","Total, all industries","01","AL"
Alaska,"2004Q3","20315","314472","2.0","755","3.4","Total, all industries","02","AK"
Arizona,"2004Q3","128079","2369037","4.1","691","4.9","Total, all industries","04","AZ"
Arkansas,"2004Q3","75764","1143676","1.2","571","5.4","Total, all industries","05","AR"
California,"2004Q3","1197223","15072117","1.2","829","3.9","Total, all industries","06","CA"
Colorado,"2004Q3","164694","2161682","1.8","753","1.2","Total, all industries","08","CO"
Connecticut,"2004Q3","109130","1641325","0.8","917","5.4","Total, all industries","09","CT"
Delaware,"2004Q3","29428","414913","2.0","769","2.1","Total, all industries","10","DE"
District Of Columbia,"2004Q3","30009","661089","1.6","1210","7.8","Total, all industries","11","DC"
Florida,"2004Q3","526039","7395001","2.4","655","4.5","Total, all industries","12","FL"
Georgia,"2004Q3","247030","3839259","0.9","711","3.8","Total, all industries","13","GA"
Hawaii,"2004Q3","35193","586935","3.2","675","4.3","Total, all industries","15","HI"
Idaho,"2004Q3","49737","608338","3.0","571","4.4","Total, all industries","16","ID"
Illinois,"2004Q3","328002","5751813","0.2","779","3.9","Total, all industries","17","IL"
Indiana,"2004Q3","153138","2888601","1.4","655","4.5","Total, all industries","18","IN"
Iowa,"2004Q3","91845","1434080","1.4","604","4.1","Total, all industries","19","IA"
Kansas,"2004Q3","81704","1309328","1.5","619","4.4","Total, all industries","20","KS"
Kentucky,"2004Q3","105582","1745857","1.0","619","4.4","Total, all industries","21","KY"
Louisiana,"2004Q3","116526","1861089","0.1","596","2.9","Total, all industries","22","LA"
Maine,"2004Q3","50184","609039","0.8","603","4.3","Total, all industries","23","ME"
Maryland,"2004Q3","156069","2479436","1.2","794","4.1","Total, all industries","24","MD"
Massachusetts,"2004Q3","211353","3167797","0.0","906","5.3","Total, all industries","25","MA"
Michigan,"2004Q3","255042","4355352","-0.1","756","3.3","Total, all industries","26","MI"
Minnesota,"2004Q3","158857","2634506","1.2","753","3.2","Total, all industries","27","MN"
Mississippi,"2004Q3","66422","1113938","1.0","541","3.8","Total, all industries","28","MS"
Missouri,"2004Q3","167687","2653741","0.8","655","3.0","Total, all industries","29","MO"
Montana,"2004Q3","41424","413077","2.6","524","3.4","Total, all industries","30","MT"
Nebraska,"2004Q3","55688","887322","1.1","601","3.6","Total, all industries","31","NE"
Nevada,"2004Q3","63454","1169011","6.6","703","4.1","Total, all industries","32","NV"
New Hampshire,"2004Q3","47376","622964","1.5","730","6.0","Total, all industries","33","NH"
New Jersey,"2004Q3","264079","3915711","0.8","877","2.9","Total, all industries","34","NJ"
New Mexico,"2004Q3","49407","767816","1.7","589","4.2","Total, all industries","35","NM"
New York,"2004Q3","551663","8316650","1.0","890","5.2","Total, all industries","36","NY"
North Carolina,"2004Q3","229339","3829927","2.3","653","4.0","Total, all industries","37","NC"
North Dakota,"2004Q3","24375","327478","2.1","548","4.0","Total, all industries","38","ND"
Ohio,"2004Q3","287327","5333193","0.4","685","4.1","Total, all industries","39","OH"
Oklahoma,"2004Q3","92600","1441506","1.7","579","3.6","Total, all industries","40","OK"
Oregon,"2004Q3","117378","1627125","2.4","676","3.7","Total, all industries","41","OR"
Pennsylvania,"2004Q3","325215","5535863","0.7","723","4.5","Total, all industries","42","PA"
Rhode Island,"2004Q3","35142","484265","0.5","707","4.4","Total, all industries","44","RI"
South Carolina,"2004Q3","113053","1802858","1.6","603","4.0","Total, all industries","45","SC"
South Dakota,"2004Q3","28634","375503","2.0","538","4.9","Total, all industries","46","SD"
Tennessee,"2004Q3","129839","2669970","2.0","659","4.4","Total, all industries","47","TN"
Texas,"2004Q3","515107","9364679","1.5","719","3.6","Total, all industries","48","TX"
Utah,"2004Q3","77258","1083767","3.3","607","3.2","Total, all industries","49","UT"
Vermont,"2004Q3","24527","302697","1.7","633","5.7","Total, all industries","50","VT"
Virginia,"2004Q3","205541","3522264","2.7","757","4.6","Total, all industries","51","VA"
Washington,"2004Q3","213317","2751614","1.8","752","-0.1","Total, all industries","53","WA"
West Virginia,"2004Q3","47957","694007","1.5","559","5.1","Total, all industries","54","WV"
Wisconsin,"2004Q3","157337","2750926","1.3","653","4.8","Total, all industries","55","WI"
Wyoming,"2004Q3","22521","253699","1.5","591","5.2","Total, all industries","56","WY"
Puerto Rico,"2004Q3","53161","1043741","2.4","419","3.5","Total, all industries","72","PR"
Virgin Islands,"2004Q3","3226","42717","3.5","599","5.8","Total, all industries","78","VI"
 
