"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2002Q2","113519","1838317","-1.7","586","3.7","Total, all industries","01","AL"
Alaska,"2002Q2","19080","299892","0.5","707","2.0","Total, all industries","02","AK"
Arizona,"2002Q2","120152","2207109","-0.3","652","2.2","Total, all industries","04","AZ"
Arkansas,"2002Q2","73665","1133158","-0.7","535","3.3","Total, all industries","05","AR"
California,"2002Q2","1087160","15078486","-1.2","772","0.3","Total, all industries","06","CA"
Colorado,"2002Q2","157046","2192027","-2.4","708","-0.3","Total, all industries","08","CO"
Connecticut,"2002Q2","108179","1679106","-0.8","851","-1.2","Total, all industries","09","CT"
Delaware,"2002Q2","25725","407431","-2.1","727","4.2","Total, all industries","10","DE"
District Of Columbia,"2002Q2","27372","655832","2.4","1095","3.1","Total, all industries","11","DC"
Florida,"2002Q2","473875","7098194","-0.2","612","2.5","Total, all industries","12","FL"
Georgia,"2002Q2","233446","3828121","-1.8","670","2.1","Total, all industries","13","GA"
Hawaii,"2002Q2","35503","564719","-0.1","613","5.1","Total, all industries","15","HI"
Idaho,"2002Q2","46474","586425","-0.3","527","0.6","Total, all industries","16","ID"
Illinois,"2002Q2","320830","5853031","-2.3","740","2.8","Total, all industries","17","IL"
Indiana,"2002Q2","151182","2855380","-1.7","613","2.9","Total, all industries","18","IN"
Iowa,"2002Q2","89196","1444209","-1.5","557","3.1","Total, all industries","19","IA"
Kansas,"2002Q2","83112","1327735","-1.1","584","2.6","Total, all industries","20","KS"
Kentucky,"2002Q2","107786","1735609","-1.2","592","3.1","Total, all industries","21","KY"
Louisiana,"2002Q2","114554","1866556","-1.5","567","3.8","Total, all industries","22","LA"
Maine,"2002Q2","46820","609671","-0.6","552","3.2","Total, all industries","23","ME"
Maryland,"2002Q2","149919","2463409","0.0","738","3.1","Total, all industries","24","MD"
Massachusetts,"2002Q2","196980","3270738","-2.5","836","0.7","Total, all industries","25","MA"
Michigan,"2002Q2","255001","4465973","-2.0","714","2.7","Total, all industries","26","MI"
Minnesota,"2002Q2","156566","2635567","-1.1","704","2.2","Total, all industries","27","MN"
Mississippi,"2002Q2","64167","1113975","-0.2","506","2.4","Total, all industries","28","MS"
Missouri,"2002Q2","164700","2666730","-1.3","626","2.5","Total, all industries","29","MO"
Montana,"2002Q2","42156","400471","0.9","502","3.1","Total, all industries","30","MT"
Nebraska,"2002Q2","54208","890840","-1.3","546","3.4","Total, all industries","31","NE"
Nevada,"2002Q2","51947","1047461","-0.7","635","1.1","Total, all industries","32","NV"
New Hampshire,"2002Q2","45800","614368","-1.5","677","2.9","Total, all industries","33","NH"
New Jersey,"2002Q2","255480","3939841","-1.0","828","1.6","Total, all industries","34","NJ"
New Mexico,"2002Q2","48883","746704","0.7","570","3.6","Total, all industries","35","NM"
New York,"2002Q2","537248","8402450","-2.3","836","0.7","Total, all industries","36","NY"
North Carolina,"2002Q2","232608","3770585","-1.8","615","2.2","Total, all industries","37","NC"
North Dakota,"2002Q2","23548","317090","-0.3","499","3.7","Total, all industries","38","ND"
Ohio,"2002Q2","287327","5398281","-2.2","640","3.1","Total, all industries","39","OH"
Oklahoma,"2002Q2","90293","1448827","-2.3","543","2.5","Total, all industries","40","OK"
Oregon,"2002Q2","112563","1603940","-1.9","642","1.7","Total, all industries","41","OR"
Pennsylvania,"2002Q2","316202","5581313","-1.0","670","2.1","Total, all industries","42","PA"
Rhode Island,"2002Q2","34184","478464","-0.1","649","3.2","Total, all industries","44","RI"
South Carolina,"2002Q2","118426","1792583","-0.8","567","2.9","Total, all industries","45","SC"
South Dakota,"2002Q2","27654","374405","-0.5","491","2.7","Total, all industries","46","SD"
Tennessee,"2002Q2","125364","2616961","-1.1","616","4.2","Total, all industries","47","TN"
Texas,"2002Q2","497401","9314129","-1.3","675","0.9","Total, all industries","48","TX"
Utah,"2002Q2","69919","1048991","-1.4","577","1.8","Total, all industries","49","UT"
Vermont,"2002Q2","23738","300472","-0.8","590","2.1","Total, all industries","50","VT"
Virginia,"2002Q2","198187","3457424","-1.1","700","0.3","Total, all industries","51","VA"
Washington,"2002Q2","224868","2685964","-2.4","726","-0.1","Total, all industries","53","WA"
West Virginia,"2002Q2","47262","689809","-0.8","556","2.0","Total, all industries","54","WV"
Wisconsin,"2002Q2","151938","2748318","-1.2","614","3.4","Total, all industries","55","WI"
Wyoming,"2002Q2","21557","250468","0.5","547","3.8","Total, all industries","56","WY"
Puerto Rico,"2002Q2","47534","988320","-2.0","381","2.7","Total, all industries","72","PR"
Virgin Islands,"2002Q2","3224","43085","-4.6","590","8.3","Total, all industries","78","VI"
 
