"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2019Q3","129709","1991119","1.2","919","3.8","Total, all industries","01","AL"
Alaska,"2019Q3","22291","338868","1.5","1105","3.7","Total, all industries","02","AK"
Arizona,"2019Q3","165402","2918332","2.8","1017","4.4","Total, all industries","04","AZ"
Arkansas,"2019Q3","92100","1221762","-0.1","841","3.8","Total, all industries","05","AR"
California,"2019Q3","1596489","17726715","1.5","1309","3.8","Total, all industries","06","CA"
Colorado,"2019Q3","212767","2750742","2.4","1170","6.1","Total, all industries","08","CO"
Connecticut,"2019Q3","123482","1677518","-0.3","1236","2.3","Total, all industries","09","CT"
Delaware,"2019Q3","34707","454244","1.3","1077","3.2","Total, all industries","10","DE"
District Of Columbia,"2019Q3","41316","776919","0.7","1850","2.5","Total, all industries","11","DC"
Florida,"2019Q3","721057","8846596","1.8","953","3.1","Total, all industries","12","FL"
Georgia,"2019Q3","290127","4518822","1.6","1025","3.3","Total, all industries","13","GA"
Hawaii,"2019Q3","44294","658325","0.3","1010","3.7","Total, all industries","15","HI"
Idaho,"2019Q3","63882","765472","3.0","838","4.1","Total, all industries","16","ID"
Illinois,"2019Q3","374704","6029382","0.1","1123","3.4","Total, all industries","17","IL"
Indiana,"2019Q3","169471","3086612","0.4","913","3.4","Total, all industries","18","IN"
Iowa,"2019Q3","104631","1556719","0.1","914","3.0","Total, all industries","19","IA"
Kansas,"2019Q3","87587","1394472","0.3","893","2.9","Total, all industries","20","KS"
Kentucky,"2019Q3","123748","1911336","0.7","884","3.4","Total, all industries","21","KY"
Louisiana,"2019Q3","135364","1918292","0.0","922","2.4","Total, all industries","22","LA"
Maine,"2019Q3","53811","634547","1.2","886","4.1","Total, all industries","23","ME"
Maryland,"2019Q3","175842","2702288","0.4","1166","3.4","Total, all industries","24","MD"
Massachusetts,"2019Q3","261367","3659504","1.4","1357","4.1","Total, all industries","25","MA"
Michigan,"2019Q3","268113","4382604","0.4","1020","2.9","Total, all industries","26","MI"
Minnesota,"2019Q3","179808","2920072","0.5","1107","3.0","Total, all industries","27","MN"
Mississippi,"2019Q3","74114","1137869","0.3","767","2.5","Total, all industries","28","MS"
Missouri,"2019Q3","209406","2825790","0.5","942","3.9","Total, all industries","29","MO"
Montana,"2019Q3","50725","478946","1.2","848","3.9","Total, all industries","30","MT"
Nebraska,"2019Q3","70132","987927","0.7","906","3.8","Total, all industries","31","NE"
Nevada,"2019Q3","83243","1414757","2.3","972","4.0","Total, all industries","32","NV"
New Hampshire,"2019Q3","54002","668828","0.9","1075","3.4","Total, all industries","33","NH"
New Jersey,"2019Q3","278921","4107940","1.0","1216","2.9","Total, all industries","34","NJ"
New Mexico,"2019Q3","63247","844319","1.9","898","5.0","Total, all industries","35","NM"
New York,"2019Q3","645312","9577565","1.1","1315","3.4","Total, all industries","36","NY"
North Carolina,"2019Q3","287408","4506956","2.4","972","3.6","Total, all industries","37","NC"
North Dakota,"2019Q3","31929","428239","0.9","1028","3.3","Total, all industries","38","ND"
Ohio,"2019Q3","302596","5444138","0.4","976","3.1","Total, all industries","39","OH"
Oklahoma,"2019Q3","112040","1632127","0.7","896","2.5","Total, all industries","40","OK"
Oregon,"2019Q3","159021","1975137","1.7","1036","3.1","Total, all industries","41","OR"
Pennsylvania,"2019Q3","359687","5952794","0.9","1064","3.2","Total, all industries","42","PA"
Rhode Island,"2019Q3","38898","491827","0.7","989","2.6","Total, all industries","44","RI"
South Carolina,"2019Q3","142304","2134741","2.3","866","3.7","Total, all industries","45","SC"
South Dakota,"2019Q3","34285","433501","0.5","856","3.5","Total, all industries","46","SD"
Tennessee,"2019Q3","166419","3058574","1.8","966","2.8","Total, all industries","47","TN"
Texas,"2019Q3","717688","12617541","2.3","1108","4.0","Total, all industries","48","TX"
Utah,"2019Q3","108676","1533917","2.7","957","5.2","Total, all industries","49","UT"
Vermont,"2019Q3","25998","310534","-0.2","928","4.4","Total, all industries","50","VT"
Virginia,"2019Q3","279365","3934450","1.1","1129","4.3","Total, all industries","51","VA"
Washington,"2019Q3","253895","3485840","2.0","1335","4.3","Total, all industries","53","WA"
West Virginia,"2019Q3","51021","695762","-1.6","897","0.3","Total, all industries","54","WV"
Wisconsin,"2019Q3","176360","2897049","0.2","928","3.0","Total, all industries","55","WI"
Wyoming,"2019Q3","26763","283154","1.6","943","4.3","Total, all industries","56","WY"
Puerto Rico,"2019Q3","47156","877738","1.8","529","-0.6","Total, all industries","72","PR"
Virgin Islands,"2019Q3","3415","38912","12.9","1024","14.2","Total, all industries","78","VI"
 
