"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2008Q1","120824","1946153","-0.2","739","3.1","Total, all industries","01","AL"
Alaska,"2008Q1","21017","303131","1.1","865","4.1","Total, all industries","02","AK"
Arizona,"2008Q1","159309","2642185","-1.2","818","2.1","Total, all industries","04","AZ"
Arkansas,"2008Q1","84945","1178643","-0.1","667","4.1","Total, all industries","05","AR"
California,"2008Q1","1287283","15520966","-0.2","1006","1.9","Total, all industries","06","CA"
Colorado,"2008Q1","178059","2299924","1.7","920","3.6","Total, all industries","08","CO"
Connecticut,"2008Q1","112619","1683465","1.2","1259","-0.2","Total, all industries","09","CT"
Delaware,"2008Q1","31851","421183","1.2","983","-0.3","Total, all industries","10","DE"
District Of Columbia,"2008Q1","34693","679564","0.9","1490","4.5","Total, all industries","11","DC"
Florida,"2008Q1","623817","7903622","-2.4","777","1.8","Total, all industries","12","FL"
Georgia,"2008Q1","273729","4053592","-0.1","843","0.8","Total, all industries","13","GA"
Hawaii,"2008Q1","38104","629832","0.4","772","3.3","Total, all industries","15","HI"
Idaho,"2008Q1","56642","643710","-0.1","636","0.5","Total, all industries","16","ID"
Illinois,"2008Q1","365293","5796521","0.1","980","2.6","Total, all industries","17","IL"
Indiana,"2008Q1","160744","2860357","-0.7","757","2.4","Total, all industries","18","IN"
Iowa,"2008Q1","93453","1469457","0.8","710","3.6","Total, all industries","19","IA"
Kansas,"2008Q1","85669","1362031","1.0","736","2.2","Total, all industries","20","KS"
Kentucky,"2008Q1","118238","1793102","0.1","714","2.4","Total, all industries","21","KY"
Louisiana,"2008Q1","122692","1888190","1.4","766","4.9","Total, all industries","22","LA"
Maine,"2008Q1","50887","584601","0.6","701","3.5","Total, all industries","23","ME"
Maryland,"2008Q1","168119","2530510","0.0","963","2.8","Total, all industries","24","MD"
Massachusetts,"2008Q1","211253","3207112","1.1","1143","3.3","Total, all industries","25","MA"
Michigan,"2008Q1","260077","4058132","-1.8","857","0.9","Total, all industries","26","MI"
Minnesota,"2008Q1","166641","2642921","0.5","908","4.0","Total, all industries","27","MN"
Mississippi,"2008Q1","70332","1138602","0.8","634","3.3","Total, all industries","28","MS"
Missouri,"2008Q1","175095","2709649","0.1","770","3.8","Total, all industries","29","MO"
Montana,"2008Q1","42669","431993","0.8","625","4.3","Total, all industries","30","MT"
Nebraska,"2008Q1","59051","912762","1.5","687","3.2","Total, all industries","31","NE"
Nevada,"2008Q1","76701","1265861","-1.3","839","4.7","Total, all industries","32","NV"
New Hampshire,"2008Q1","48539","621019","0.2","863","3.4","Total, all industries","33","NH"
New Jersey,"2008Q1","274118","3933748","0.3","1132","3.2","Total, all industries","34","NJ"
New Mexico,"2008Q1","53954","823027","0.5","718","4.8","Total, all industries","35","NM"
New York,"2008Q1","576721","8553204","1.2","1400","0.1","Total, all industries","36","NY"
North Carolina,"2008Q1","257756","4065426","0.8","788","1.3","Total, all industries","37","NC"
North Dakota,"2008Q1","25364","343248","2.6","653","6.4","Total, all industries","38","ND"
Ohio,"2008Q1","296183","5189001","-1.0","798","1.0","Total, all industries","39","OH"
Oklahoma,"2008Q1","100833","1548517","0.8","711","5.3","Total, all industries","40","OK"
Oregon,"2008Q1","128138","1711396","0.2","777","3.1","Total, all industries","41","OR"
Pennsylvania,"2008Q1","339281","5610237","0.5","868","2.2","Total, all industries","42","PA"
Rhode Island,"2008Q1","35762","464808","-1.5","851","2.3","Total, all industries","44","RI"
South Carolina,"2008Q1","117253","1890579","0.2","695","2.8","Total, all industries","45","SC"
South Dakota,"2008Q1","30253","389387","2.0","632","5.2","Total, all industries","46","SD"
Tennessee,"2008Q1","143454","2741388","0.4","761","3.3","Total, all industries","47","TN"
Texas,"2008Q1","560557","10420723","2.8","903","3.6","Total, all industries","48","TX"
Utah,"2008Q1","86328","1218528","1.3","718","3.2","Total, all industries","49","UT"
Vermont,"2008Q1","24816","301173","-0.1","734","4.3","Total, all industries","50","VT"
Virginia,"2008Q1","229625","3649856","0.1","919","2.1","Total, all industries","51","VA"
Washington,"2008Q1","216412","2922137","1.8","899","3.7","Total, all industries","53","WA"
West Virginia,"2008Q1","48573","700085","0.3","677","3.7","Total, all industries","54","WV"
Wisconsin,"2008Q1","160395","2735551","0.2","759","2.0","Total, all industries","55","WI"
Wyoming,"2008Q1","24763","277683","3.1","779","6.7","Total, all industries","56","WY"
Puerto Rico,"2008Q1","63257","1008324","-1.2","489","2.7","Total, all industries","72","PR"
Virgin Islands,"2008Q1","3688","46632","1.4","707","3.2","Total, all industries","78","VI"
 
