"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2020Q3","132993","1906373","-4.3","978","6.4","Total, all industries","01","AL"
Alaska,"2020Q3","22751","302898","-10.6","1165","5.4","Total, all industries","02","AK"
Arizona,"2020Q3","171139","2798570","-4.1","1091","7.3","Total, all industries","04","AZ"
Arkansas,"2020Q3","93525","1178792","-3.5","893","6.2","Total, all industries","05","AR"
California,"2020Q3","1624078","16135854","-9.0","1464","11.8","Total, all industries","06","CA"
Colorado,"2020Q3","220933","2599566","-5.5","1235","5.6","Total, all industries","08","CO"
Connecticut,"2020Q3","125465","1559854","-7.0","1326","7.3","Total, all industries","09","CT"
Delaware,"2020Q3","35468","430743","-5.2","1147","6.5","Total, all industries","10","DE"
District Of Columbia,"2020Q3","42930","713893","-8.1","1962","6.1","Total, all industries","11","DC"
Florida,"2020Q3","749894","8331500","-5.8","1030","8.1","Total, all industries","12","FL"
Georgia,"2020Q3","312136","4280442","-5.3","1084","5.8","Total, all industries","13","GA"
Hawaii,"2020Q3","46360","508459","-22.8","1113","10.2","Total, all industries","15","HI"
Idaho,"2020Q3","70221","763462","-0.3","884","5.5","Total, all industries","16","ID"
Illinois,"2020Q3","376225","5568963","-7.6","1198","6.7","Total, all industries","17","IL"
Indiana,"2020Q3","173411","2944529","-4.6","961","5.3","Total, all industries","18","IN"
Iowa,"2020Q3","105478","1477362","-5.1","968","5.9","Total, all industries","19","IA"
Kansas,"2020Q3","88138","1326107","-4.9","952","6.6","Total, all industries","20","KS"
Kentucky,"2020Q3","128593","1808202","-5.4","935","5.8","Total, all industries","21","KY"
Louisiana,"2020Q3","139110","1743773","-9.1","969","5.1","Total, all industries","22","LA"
Maine,"2020Q3","54446","598454","-5.7","966","9.0","Total, all industries","23","ME"
Maryland,"2020Q3","172498","2506951","-7.2","1270","8.9","Total, all industries","24","MD"
Massachusetts,"2020Q3","263469","3318848","-9.3","1489","9.7","Total, all industries","25","MA"
Michigan,"2020Q3","266937","4036815","-7.9","1096","7.5","Total, all industries","26","MI"
Minnesota,"2020Q3","183362","2707343","-7.3","1177","6.3","Total, all industries","27","MN"
Mississippi,"2020Q3","74766","1094088","-3.8","808","5.3","Total, all industries","28","MS"
Missouri,"2020Q3","218464","2681826","-5.1","995","5.6","Total, all industries","29","MO"
Montana,"2020Q3","52988","466869","-2.5","904","6.6","Total, all industries","30","MT"
Nebraska,"2020Q3","71035","951047","-3.7","964","6.4","Total, all industries","31","NE"
Nevada,"2020Q3","87672","1253622","-11.4","1048","7.8","Total, all industries","32","NV"
New Hampshire,"2020Q3","55654","633773","-5.2","1173","9.1","Total, all industries","33","NH"
New Jersey,"2020Q3","284265","3782479","-7.9","1329","9.3","Total, all industries","34","NJ"
New Mexico,"2020Q3","63630","773857","-8.3","944","5.1","Total, all industries","35","NM"
New York,"2020Q3","654071","8548083","-10.7","1446","10.0","Total, all industries","36","NY"
North Carolina,"2020Q3","297651","4322130","-4.1","1038","6.8","Total, all industries","37","NC"
North Dakota,"2020Q3","32510","398560","-6.9","1024","-0.4","Total, all industries","38","ND"
Ohio,"2020Q3","305954","5136087","-5.7","1040","6.6","Total, all industries","39","OH"
Oklahoma,"2020Q3","112898","1548369","-5.1","915","2.1","Total, all industries","40","OK"
Oregon,"2020Q3","163729","1840680","-6.8","1113","7.4","Total, all industries","41","OR"
Pennsylvania,"2020Q3","363204","5506608","-7.5","1139","7.0","Total, all industries","42","PA"
Rhode Island,"2020Q3","40094","452494","-8.0","1092","10.4","Total, all industries","44","RI"
South Carolina,"2020Q3","146959","2029791","-4.9","924","6.7","Total, all industries","45","SC"
South Dakota,"2020Q3","35165","422450","-2.5","918","7.2","Total, all industries","46","SD"
Tennessee,"2020Q3","173405","2920065","-4.5","1022","5.8","Total, all industries","47","TN"
Texas,"2020Q3","739336","11939296","-5.4","1150","3.8","Total, all industries","48","TX"
Utah,"2020Q3","114135","1518136","-1.0","1015","6.1","Total, all industries","49","UT"
Vermont,"2020Q3","26429","285831","-8.0","997","7.4","Total, all industries","50","VT"
Virginia,"2020Q3","284444","3735710","-5.1","1200","6.3","Total, all industries","51","VA"
Washington,"2020Q3","258854","3270281","-6.2","1480","10.9","Total, all industries","53","WA"
West Virginia,"2020Q3","51477","646838","-7.0","914","1.9","Total, all industries","54","WV"
Wisconsin,"2020Q3","179311","2751746","-5.0","976","5.2","Total, all industries","55","WI"
Wyoming,"2020Q3","27398","264427","-6.6","939","-0.4","Total, all industries","56","WY"
Puerto Rico,"2020Q3","45977","833531","-5.0","546","3.2","Total, all industries","72","PR"
Virgin Islands,"2020Q3","3590","33869","-13.0","1011","-1.3","Total, all industries","78","VI"
 
