"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2006Q2","116096","1943575","2.2","673","4.5","Total, all industries","01","AL"
Alaska,"2006Q2","20786","327357","3.9","788","4.2","Total, all industries","02","AK"
Arizona,"2006Q2","148596","2581534","5.7","753","4.1","Total, all industries","04","AZ"
Arkansas,"2006Q2","81091","1183056","2.2","613","3.4","Total, all industries","05","AR"
California,"2006Q2","1239961","15708079","2.3","887","4.4","Total, all industries","06","CA"
Colorado,"2006Q2","174190","2277871","2.8","794","3.3","Total, all industries","08","CO"
Connecticut,"2006Q2","111207","1698862","1.4","971","2.8","Total, all industries","09","CT"
Delaware,"2006Q2","30027","430334","2.0","851","6.8","Total, all industries","10","DE"
District Of Columbia,"2006Q2","31139","677742","0.4","1301","5.4","Total, all industries","11","DC"
Florida,"2006Q2","579680","7874860","3.0","720","4.5","Total, all industries","12","FL"
Georgia,"2006Q2","260072","4033233","2.6","744","3.2","Total, all industries","13","GA"
Hawaii,"2006Q2","36323","622728","2.6","706","4.3","Total, all industries","15","HI"
Idaho,"2006Q2","54452","659522","5.6","612","7.4","Total, all industries","16","ID"
Illinois,"2006Q2","347817","5908986","1.7","837","4.1","Total, all industries","17","IL"
Indiana,"2006Q2","156167","2917479","0.9","684","3.0","Total, all industries","18","IN"
Iowa,"2006Q2","92448","1505028","2.0","639","4.1","Total, all industries","19","IA"
Kansas,"2006Q2","83946","1343478","1.5","670","5.5","Total, all industries","20","KS"
Kentucky,"2006Q2","109293","1798507","1.3","672","3.4","Total, all industries","21","KY"
Louisiana,"2006Q2","121140","1821745","-4.4","683","10.7","Total, all industries","22","LA"
Maine,"2006Q2","49065","616222","0.9","632","3.8","Total, all industries","23","ME"
Maryland,"2006Q2","163435","2567594","1.6","854","4.5","Total, all industries","24","MD"
Massachusetts,"2006Q2","207973","3261119","1.2","962","5.0","Total, all industries","25","MA"
Michigan,"2006Q2","257529","4314560","-1.1","784","2.0","Total, all industries","26","MI"
Minnesota,"2006Q2","167637","2730520","2.2","790","4.1","Total, all industries","27","MN"
Mississippi,"2006Q2","68385","1127274","0.9","588","5.8","Total, all industries","28","MS"
Missouri,"2006Q2","170358","2742194","1.5","703","3.7","Total, all industries","29","MO"
Montana,"2006Q2","41030","442417","4.2","575","4.0","Total, all industries","30","MT"
Nebraska,"2006Q2","57478","916664","1.2","632","5.7","Total, all industries","31","NE"
Nevada,"2006Q2","70793","1285174","5.2","748","1.4","Total, all industries","32","NV"
New Hampshire,"2006Q2","48349","639419","1.2","774","2.5","Total, all industries","33","NH"
New Jersey,"2006Q2","271847","4052289","0.9","948","5.1","Total, all industries","34","NJ"
New Mexico,"2006Q2","51946","824392","5.0","652","4.5","Total, all industries","35","NM"
New York,"2006Q2","566283","8574963","1.1","963","5.5","Total, all industries","36","NY"
North Carolina,"2006Q2","240905","3970555","3.1","690","3.8","Total, all industries","37","NC"
North Dakota,"2006Q2","25289","342453","2.7","591","5.3","Total, all industries","38","ND"
Ohio,"2006Q2","290736","5390591","0.3","716","3.3","Total, all industries","39","OH"
Oklahoma,"2006Q2","96374","1513823","3.1","639","7.4","Total, all industries","40","OK"
Oregon,"2006Q2","125168","1732657","3.0","710","3.3","Total, all industries","41","OR"
Pennsylvania,"2006Q2","331828","5677055","1.0","767","4.1","Total, all industries","42","PA"
Rhode Island,"2006Q2","35858","491615","0.8","755","4.7","Total, all industries","44","RI"
South Carolina,"2006Q2","124771","1862293","1.7","646","4.2","Total, all industries","45","SC"
South Dakota,"2006Q2","29551","395999","2.2","563","4.3","Total, all industries","46","SD"
Tennessee,"2006Q2","135633","2748698","2.2","704","5.1","Total, all industries","47","TN"
Texas,"2006Q2","535454","9960880","3.8","781","5.8","Total, all industries","48","TX"
Utah,"2006Q2","85427","1182166","5.5","655","5.3","Total, all industries","49","UT"
Vermont,"2006Q2","24615","308281","1.3","665","3.1","Total, all industries","50","VT"
Virginia,"2006Q2","215400","3692980","2.0","823","4.6","Total, all industries","51","VA"
Washington,"2006Q2","210299","2912577","3.0","798","5.0","Total, all industries","53","WA"
West Virginia,"2006Q2","48100","714705","1.6","636","3.9","Total, all industries","54","WV"
Wisconsin,"2006Q2","160107","2833960","1.3","684","3.2","Total, all industries","55","WI"
Wyoming,"2006Q2","23947","279100","5.3","684","10.1","Total, all industries","56","WY"
Puerto Rico,"2006Q2","60083","1037828","-0.6","434","3.8","Total, all industries","72","PR"
Virgin Islands,"2006Q2","3394","45358","3.3","679","5.6","Total, all industries","78","VI"
 
