"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2003Q2","110906","1828621","-0.5","603","2.9","Total, all industries","01","AL"
Alaska,"2003Q2","19414","305828","2.0","723","2.3","Total, all industries","02","AK"
Arizona,"2003Q2","125055","2228433","1.0","672","3.1","Total, all industries","04","AZ"
Arkansas,"2003Q2","74573","1120891","-1.1","547","2.2","Total, all industries","05","AR"
California,"2003Q2","1134854","15020675","-0.4","790","2.3","Total, all industries","06","CA"
Colorado,"2003Q2","159657","2144176","-2.2","724","2.3","Total, all industries","08","CO"
Connecticut,"2003Q2","108344","1651136","-1.7","875","2.8","Total, all industries","09","CT"
Delaware,"2003Q2","26661","409306","0.5","749","3.0","Total, all industries","10","DE"
District Of Columbia,"2003Q2","29345","654417","-0.2","1148","4.8","Total, all industries","11","DC"
Florida,"2003Q2","492444","7164041","0.9","631","3.1","Total, all industries","12","FL"
Georgia,"2003Q2","240368","3786401","-1.1","683","1.9","Total, all industries","13","GA"
Hawaii,"2003Q2","36693","570574","1.0","634","3.4","Total, all industries","15","HI"
Idaho,"2003Q2","49196","589763","0.6","538","2.1","Total, all industries","16","ID"
Illinois,"2003Q2","323713","5772741","-1.4","750","1.4","Total, all industries","17","IL"
Indiana,"2003Q2","151827","2838815","-0.6","623","1.6","Total, all industries","18","IN"
Iowa,"2003Q2","89821","1429242","-1.0","572","2.7","Total, all industries","19","IA"
Kansas,"2003Q2","82165","1299872","-2.1","591","1.2","Total, all industries","20","KS"
Kentucky,"2003Q2","105965","1728648","-0.4","608","2.7","Total, all industries","21","KY"
Louisiana,"2003Q2","116342","1869036","0.1","580","2.3","Total, all industries","22","LA"
Maine,"2003Q2","46911","605960","-0.6","569","3.1","Total, all industries","23","ME"
Maryland,"2003Q2","150466","2471243","0.3","760","3.0","Total, all industries","24","MD"
Massachusetts,"2003Q2","203347","3203999","-2.0","849","1.6","Total, all industries","25","MA"
Michigan,"2003Q2","251277","4390786","-1.7","731","2.4","Total, all industries","26","MI"
Minnesota,"2003Q2","158733","2631908","-0.1","723","2.7","Total, all industries","27","MN"
Mississippi,"2003Q2","64808","1095655","-1.6","521","3.0","Total, all industries","28","MS"
Missouri,"2003Q2","165451","2653816","-0.5","639","2.1","Total, all industries","29","MO"
Montana,"2003Q2","41970","404649","1.0","521","3.8","Total, all industries","30","MT"
Nebraska,"2003Q2","54959","888118","-0.3","565","3.5","Total, all industries","31","NE"
Nevada,"2003Q2","57248","1076965","2.8","658","3.6","Total, all industries","32","NV"
New Hampshire,"2003Q2","46168","615756","0.2","693","2.4","Total, all industries","33","NH"
New Jersey,"2003Q2","259468","3928671","-0.3","851","2.8","Total, all industries","34","NJ"
New Mexico,"2003Q2","49634","753296","0.9","579","1.6","Total, all industries","35","NM"
New York,"2003Q2","543523","8345077","-0.7","850","1.7","Total, all industries","36","NY"
North Carolina,"2003Q2","223883","3731431","-1.0","621","1.0","Total, all industries","37","NC"
North Dakota,"2003Q2","23803","319150","0.6","516","3.4","Total, all industries","38","ND"
Ohio,"2003Q2","291767","5344683","-1.0","654","2.2","Total, all industries","39","OH"
Oklahoma,"2003Q2","91446","1409570","-2.7","565","4.1","Total, all industries","40","OK"
Oregon,"2003Q2","115787","1586057","-1.1","651","1.4","Total, all industries","41","OR"
Pennsylvania,"2003Q2","322143","5543505","-0.7","689","2.8","Total, all industries","42","PA"
Rhode Island,"2003Q2","34506","482662","0.9","672","3.5","Total, all industries","44","RI"
South Carolina,"2003Q2","123372","1786474","-0.3","577","1.8","Total, all industries","45","SC"
South Dakota,"2003Q2","27838","374703","0.1","507","3.3","Total, all industries","46","SD"
Tennessee,"2003Q2","127195","2608382","-0.3","629","2.1","Total, all industries","47","TN"
Texas,"2003Q2","500575","9237702","-0.8","687","1.8","Total, all industries","48","TX"
Utah,"2003Q2","71434","1047061","-0.2","588","1.9","Total, all industries","49","UT"
Vermont,"2003Q2","23974","298492","-0.7","608","3.1","Total, all industries","50","VT"
Virginia,"2003Q2","199074","3451116","-0.2","719","2.7","Total, all industries","51","VA"
Washington,"2003Q2","234405","2700274","0.5","747","2.9","Total, all industries","53","WA"
West Virginia,"2003Q2","46900","685977","-0.6","573","3.1","Total, all industries","54","WV"
Wisconsin,"2003Q2","155791","2745633","-0.1","627","2.1","Total, all industries","55","WI"
Wyoming,"2003Q2","21793","252581","0.8","563","2.9","Total, all industries","56","WY"
Puerto Rico,"2003Q2","51457","1022282","3.4","398","4.5","Total, all industries","72","PR"
Virgin Islands,"2003Q2","3207","41820","-2.9","600","1.7","Total, all industries","78","VI"
 
