"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2007Q3","120089","1959101","1.1","707","3.7","Total, all industries","01","AL"
Alaska,"2007Q3","21082","327396","0.8","841","5.5","Total, all industries","02","AK"
Arizona,"2007Q3","159678","2650003","0.7","782","4.0","Total, all industries","04","AZ"
Arkansas,"2007Q3","83406","1186072","0.4","630","4.3","Total, all industries","05","AR"
California,"2007Q3","1303373","15742529","0.6","932","4.5","Total, all industries","06","CA"
Colorado,"2007Q3","180934","2314046","2.4","845","3.3","Total, all industries","08","CO"
Connecticut,"2007Q3","112777","1697199","1.0","1022","6.7","Total, all industries","09","CT"
Delaware,"2007Q3","31120","425440","0.1","861","1.3","Total, all industries","10","DE"
District Of Columbia,"2007Q3","33839","678871","0.6","1377","5.4","Total, all industries","11","DC"
Florida,"2007Q3","605472","7868262","-1.0","740","3.9","Total, all industries","12","FL"
Georgia,"2007Q3","271359","4085146","1.1","782","4.1","Total, all industries","13","GA"
Hawaii,"2007Q3","38227","626091","0.6","760","5.4","Total, all industries","15","HI"
Idaho,"2007Q3","56520","674800","2.1","635","3.6","Total, all industries","16","ID"
Illinois,"2007Q3","361529","5916026","0.6","866","4.0","Total, all industries","17","IL"
Indiana,"2007Q3","159124","2938404","0.5","702","2.2","Total, all industries","18","IN"
Iowa,"2007Q3","94141","1496277","1.0","668","4.2","Total, all industries","19","IA"
Kansas,"2007Q3","84924","1369592","1.7","680","2.7","Total, all industries","20","KS"
Kentucky,"2007Q3","115025","1814095","1.0","676","3.0","Total, all industries","21","KY"
Louisiana,"2007Q3","121041","1880549","2.7","716","4.5","Total, all industries","22","LA"
Maine,"2007Q3","50447","614753","0.6","660","3.9","Total, all industries","23","ME"
Maryland,"2007Q3","166251","2564336","0.7","892","4.1","Total, all industries","24","MD"
Massachusetts,"2007Q3","211490","3265350","1.1","1002","5.5","Total, all industries","25","MA"
Michigan,"2007Q3","258526","4221514","-1.3","808","2.4","Total, all industries","26","MI"
Minnesota,"2007Q3","169378","2713060","0.9","823","4.7","Total, all industries","27","MN"
Mississippi,"2007Q3","69871","1143499","0.7","607","3.8","Total, all industries","28","MS"
Missouri,"2007Q3","175608","2747569","0.8","719","4.2","Total, all industries","29","MO"
Montana,"2007Q3","42704","445881","2.6","609","4.8","Total, all industries","30","MT"
Nebraska,"2007Q3","59217","923618","1.8","666","5.4","Total, all industries","31","NE"
Nevada,"2007Q3","75398","1287224","0.0","792","5.5","Total, all industries","32","NV"
New Hampshire,"2007Q3","49326","637502","0.4","800","3.4","Total, all industries","33","NH"
New Jersey,"2007Q3","271100","3979308","0.0","966","3.8","Total, all industries","34","NJ"
New Mexico,"2007Q3","53608","829755","0.7","688","5.0","Total, all industries","35","NM"
New York,"2007Q3","575724","8587976","1.4","1008","6.0","Total, all industries","36","NY"
North Carolina,"2007Q3","253371","4105730","2.4","719","3.5","Total, all industries","37","NC"
North Dakota,"2007Q3","25231","347404","1.5","622","6.0","Total, all industries","38","ND"
Ohio,"2007Q3","293782","5331583","-0.2","745","2.8","Total, all industries","39","OH"
Oklahoma,"2007Q3","99474","1544765","1.6","668","5.9","Total, all industries","40","OK"
Oregon,"2007Q3","129516","1750742","1.2","750","4.2","Total, all industries","41","OR"
Pennsylvania,"2007Q3","339046","5677661","0.6","802","4.4","Total, all industries","42","PA"
Rhode Island,"2007Q3","36251","485984","-1.0","759","-0.1","Total, all industries","44","RI"
South Carolina,"2007Q3","116951","1903815","1.7","664","3.6","Total, all industries","45","SC"
South Dakota,"2007Q3","30273","397468","2.0","598","4.7","Total, all industries","46","SD"
Tennessee,"2007Q3","141883","2773087","0.4","725","3.9","Total, all industries","47","TN"
Texas,"2007Q3","572600","10297002","2.8","826","5.1","Total, all industries","48","TX"
Utah,"2007Q3","86809","1230453","3.5","697","5.6","Total, all industries","49","UT"
Vermont,"2007Q3","24829","305832","0.0","699","4.0","Total, all industries","50","VT"
Virginia,"2007Q3","228927","3687311","1.0","857","5.0","Total, all industries","51","VA"
Washington,"2007Q3","219497","2976581","2.1","877","6.6","Total, all industries","53","WA"
West Virginia,"2007Q3","48857","712406","0.1","624","4.2","Total, all industries","54","WV"
Wisconsin,"2007Q3","160020","2806290","0.1","706","2.8","Total, all industries","55","WI"
Wyoming,"2007Q3","24572","284566","3.7","734","4.1","Total, all industries","56","WY"
Puerto Rico,"2007Q3","62352","1008615","-1.1","452","2.3","Total, all industries","72","PR"
Virgin Islands,"2007Q3","3621","45272","1.4","680","-0.6","Total, all industries","78","VI"
 
