ASM00094940,19730101,TAVG,213,H,,S,
ASM00094940,19730102,TAVG,240,H,,S,
ASM00094940,19730104,TAVG,197,H,,S,
ASM00094940,19730105,TAVG,198,H,,S,
ASM00094940,19730106,TAVG,204,H,,S,
ASM00094940,19730107,TAVG,186,H,,S,
ASM00094940,19730108,TAVG,216,H,,S,
ASM00094940,19730109,TAVG,218,H,,S,
ASM00094940,19730110,TAVG,175,H,,S,
ASM00094940,19730111,TAVG,207,H,,S,
ASM00094940,19730112,TAVG,232,H,,S,
ASM00094940,19730113,TAVG,226,H,,S,
ASM00094940,19730114,TAVG,207,H,,S,
ASM00094940,19730115,TAVG,207,H,,S,
ASM00094940,19730116,TAVG,220,H,,S,
ASM00094940,19730117,TAVG,212,H,,S,
ASM00094940,19730118,TAVG,229,H,,S,
ASM00094940,19730120,TAVG,237,H,,S,
ASM00094940,19730121,TAVG,234,H,,S,
ASM00094940,19730122,TAVG,224,H,,S,
ASM00094940,19730123,TAVG,246,H,,S,
ASM00094940,19730124,TAVG,242,H,,S,
ASM00094940,19730126,TAVG,213,H,,S,
ASM00094940,19730127,TAVG,207,H,,S,
ASM00094940,19730128,TAVG,211,H,,S,
ASM00094940,19730129,TAVG,232,H,,S,
ASM00094940,19730130,TAVG,250,H,,S,
ASM00094940,19730131,TAVG,221,H,,S,
ASM00094940,19730202,TAVG,267,H,,S,
ASM00094940,19730203,TAVG,267,H,,S,
ASM00094940,19730204,TAVG,276,H,,S,
ASM00094940,19730205,TAVG,268,H,,S,
ASM00094940,19730206,TAVG,260,H,,S,
ASM00094940,19730207,TAVG,167,H,,S,
ASM00094940,19730208,TAVG,185,H,,S,
ASM00094940,19730209,TAVG,207,H,,S,
ASM00094940,19730210,TAVG,192,H,,S,
ASM00094940,19730211,TAVG,198,H,,S,
ASM00094940,19730212,TAVG,204,H,,S,
ASM00094940,19730213,TAVG,201,H,,S,
ASM00094940,19730214,TAVG,207,H,,S,
ASM00094940,19730215,TAVG,218,H,,S,
ASM00094940,19730216,TAVG,208,H,,S,
ASM00094940,19730217,TAVG,218,H,,S,
ASM00094940,19730219,TAVG,229,H,,S,
ASM00094940,19730220,TAVG,223,H,,S,
ASM00094940,19730221,TAVG,218,H,,S,
ASM00094940,19730222,TAVG,233,H,,S,
ASM00094940,19730225,TAVG,197,H,,S,
ASM00094940,19730227,TAVG,230,H,,S,
ASM00094940,19730228,TAVG,224,H,,S,
ASM00094940,19730301,TAVG,198,H,,S,
ASM00094940,19730302,TAVG,218,H,,S,
ASM00094940,19730303,TAVG,217,H,,S,
ASM00094940,19730304,TAVG,205,H,,S,
ASM00094940,19730306,TAVG,211,H,,S,
ASM00094940,19730308,TAVG,210,H,,S,
ASM00094940,19730309,TAVG,223,H,,S,
ASM00094940,19730310,TAVG,213,H,,S,
ASM00094940,19730312,TAVG,223,H,,S,
ASM00094940,19730313,TAVG,188,H,,S,
ASM00094940,19730314,TAVG,168,H,,S,
ASM00094940,19730315,TAVG,180,H,,S,
