ASN00097007,19460301,PRCP,0,,,a,
ASN00097007,19460302,PRCP,0,,,a,
ASN00097007,19460303,PRCP,0,,,a,
ASN00097007,19460304,PRCP,0,,,a,
ASN00097007,19460305,PRCP,0,,,a,
ASN00097007,19460306,PRCP,277,,,a,
ASN00097007,19460307,PRCP,33,,,a,
ASN00097007,19460308,PRCP,15,,,a,
ASN00097007,19460309,PRCP,0,,,a,
ASN00097007,19460310,PRCP,231,,,a,
ASN00097007,19460311,PRCP,318,,,a,
ASN00097007,19460312,PRCP,582,,,a,
ASN00097007,19460313,PRCP,41,,,a,
ASN00097007,19460314,PRCP,3,,,a,
ASN00097007,19460315,PRCP,0,,,a,
ASN00097007,19460316,PRCP,38,,,a,
ASN00097007,19460317,PRCP,203,,,a,
ASN00097007,19460318,PRCP,33,,,a,
ASN00097007,19460319,PRCP,109,,,a,
ASN00097007,19460320,PRCP,0,,,a,
ASN00097007,19460321,PRCP,0,,,a,
ASN00097007,19460322,PRCP,0,,,a,
ASN00097007,19460323,PRCP,3,,,a,
ASN00097007,19460324,PRCP,64,,,a,
ASN00097007,19460325,PRCP,58,,,a,
ASN00097007,19460326,PRCP,183,,,a,
ASN00097007,19460327,PRCP,127,,,a,
ASN00097007,19460328,PRCP,25,,,a,
ASN00097007,19460329,PRCP,30,,,a,
ASN00097007,19460330,PRCP,30,,,a,
ASN00097007,19460331,PRCP,36,,,a,
ASN00097007,19460401,PRCP,5,,,a,
ASN00097007,19460402,PRCP,0,,,a,
ASN00097007,19460403,PRCP,56,,,a,
ASN00097007,19460404,PRCP,178,,,a,
ASN00097007,19460405,PRCP,173,,,a,
ASN00097007,19460406,PRCP,107,,,a,
ASN00097007,19460407,PRCP,0,,,a,
ASN00097007,19460408,PRCP,74,,,a,
ASN00097007,19460409,PRCP,23,,,a,
ASN00097007,19460410,PRCP,13,,,a,
ASN00097007,19460411,PRCP,196,,,a,
ASN00097007,19460412,PRCP,503,,,a,
ASN00097007,19460413,PRCP,33,,,a,
ASN00097007,19460414,PRCP,0,,,a,
ASN00097007,19460415,PRCP,5,,,a,
ASN00097007,19460416,PRCP,0,,,a,
ASN00097007,19460417,PRCP,0,,,a,
ASN00097007,19460418,PRCP,25,,,a,
ASN00097007,19460419,PRCP,71,,,a,
ASN00097007,19460420,PRCP,10,,,a,
ASN00097007,19460421,PRCP,0,,,a,
ASN00097007,19460422,PRCP,0,,,a,
ASN00097007,19460423,PRCP,0,,,a,
ASN00097007,19460424,PRCP,0,,,a,
ASN00097007,19460425,PRCP,3,,,a,
ASN00097007,19460426,PRCP,3,,,a,
ASN00097007,19460427,PRCP,3,,,a,
ASN00097007,19460428,PRCP,117,,,a,
ASN00097007,19460429,PRCP,5,,,a,
ASN00097007,19460430,PRCP,0,,,a,
ASN00097007,19460501,PRCP,114,,,a,
ASN00097007,19460502,PRCP,41,,,a,
ASN00097007,19460503,PRCP,178,,,a,
ASN00097007,19460504,PRCP,25,,,a,
